elementDecl; DOMParser.java; org.apache.xerces.parsers; AbstractCharReader.java;38; 
compile; RegularExpression.java; org.apache.xerces.utils.regex; Op.java;35; 
attlistDecl; DOMParser.java; org.apache.xerces.parsers; AbstractCharReader.java;34; 
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework; AbstractCharReader.java;32; 
validate; GeneralAttrCheck.java; org.apache.xerces.validators.schema; XMLContentSpec.java;32; 
unparsedEntityDecl; DOMParser.java; org.apache.xerces.parsers; AbstractCharReader.java;31; 
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework; DefaultEntityHandler.java;29; 
createChildren; DOMParser.java; org.apache.xerces.parsers; AbstractCharReader.java;27; 
externalEntityDecl; DOMParser.java; org.apache.xerces.parsers; AbstractCharReader.java;27; 
scanAttValue; XMLDocumentScanner.java; org.apache.xerces.framework; AbstractCharReader.java;27; 
externalPEDecl; DOMParser.java; org.apache.xerces.parsers; AbstractCharReader.java;27; 
appendContentSpec; XMLContentSpec.java; org.apache.xerces.framework; AbstractCharReader.java;24; 
scanComplexEntityValue; XMLDTDScanner.java; org.apache.xerces.framework; AbstractCharReader.java;22; 
traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema; XMLContentSpec.java;22; 
printAttributeDecl; XGrammarWriter.java; org.apache.xerces.domx; DeferredDocumentImpl.java;22; 
