expandRegistryToFullSchemaSet; DatatypeValidatorFactoryImpl.java; org.apache.xerces.validators.datatype; Hash2intTable.java;42; 
compile; RegularExpression.java; org.apache.xerces.utils.regex; Op.java;35; 
attlistDecl; DOMParser.java; org.apache.xerces.parsers; UTF8Reader.java;34; 
traverseAttributeDecl; TraverseSchema.java; org.apache.xerces.validators.schema; XMLContentSpec.java;33; 
traverseElementDecl; TraverseSchema.java; org.apache.xerces.validators.schema; XMLContentSpec.java;33; 
scanDecls; XMLDTDScanner.java; org.apache.xerces.framework; UTF8Reader.java;32; 
unparsedEntityDecl; DOMParser.java; org.apache.xerces.parsers; UTF8Reader.java;31; 
scanEntityDecl; XMLDTDScanner.java; org.apache.xerces.framework; DefaultEntityHandler.java;29; 
dumpTree; DFAContentModel.java; org.apache.xerces.validators.common; DeferredDocumentImpl.java;29; 
externalPEDecl; DOMParser.java; org.apache.xerces.parsers; UTF8Reader.java;27; 
scanAttValue; XMLDocumentScanner.java; org.apache.xerces.framework; UTF8Reader.java;27; 
printAttributeDecl; XGrammarWriter.java; org.apache.xerces.domx; DeferredDocumentImpl.java;24; 
