MacroDef.java; org.apache.tools.ant.taskdefs;	AntlibDefinition.java; org.apache.tools.ant.taskdefs;	
PreSetDef.java; org.apache.tools.ant.taskdefs;	AntlibDefinition.java; org.apache.tools.ant.taskdefs;	
DotnetCompile.java; org.apache.tools.ant.taskdefs.optional.dotnet;	DotnetBaseMatchingTask.java; org.apache.tools.ant.taskdefs.optional.dotnet;	
Ilasm.java; org.apache.tools.ant.taskdefs.optional.dotnet;	DotnetBaseMatchingTask.java; org.apache.tools.ant.taskdefs.optional.dotnet;	
JonasDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
WebsphereDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
BorlandDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
WeblogicDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
IPlanetDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	GenericDeploymentTool.java; org.apache.tools.ant.taskdefs.optional.ejb;	
ZipFileSet.java; org.apache.tools.ant.types;	FileSet.java; org.apache.tools.ant.types;	
