Notation.java; org.argouml.application.api;
CriticBrowserDialog.java; org.argouml.cognitive.critics.ui;
GoalsDialog.java; org.argouml.cognitive.ui;
DesignIssuesDialog.java; org.argouml.cognitive.ui;
JavaLexer.java; org.argouml.language.java.generator;
JavaRecognizer.java; org.argouml.language.java.generator;
NavigatorConfigDialog.java; org.argouml.ui;
NavigatorPane.java; org.argouml.ui;
GenericArgoMenuBar.java; org.argouml.ui.menubar;
InitMenusLater.java; org.argouml.ui.menubar;
Init.java; org.argouml.uml.cognitive.critics;
SequenceDiagramLayout.java; org.argouml.uml.diagram.sequence.ui;
ClassdiagramLayouter.java; org.argouml.uml.diagram.static_structure.layout;
FigPackage.java; org.argouml.uml.diagram.static_structure.ui;
FigClass.java; org.argouml.uml.diagram.static_structure.ui;
FigUseCase.java; org.argouml.uml.diagram.use_case.ui;
ParserDisplay.java; org.argouml.uml.generator;
UMLComboBoxModel.java; org.argouml.uml.ui;
UMLTextField.java; org.argouml.uml.ui;
PropPanelPseudostate.java; org.argouml.uml.ui.behavior.state_machines;
PGMLParser.java; org.argouml.xml.pgml;
