ArabicNormalizer.java; org.apache.lucene.analysis.ar;
ArabicStemmer.java; org.apache.lucene.analysis.ar;
PersianNormalizer.java; org.apache.lucene.analysis.fa;
Utility.java; org.apache.lucene.analysis.cn.smart;
CharType.java; org.apache.lucene.analysis.cn.smart;
WordType.java; org.apache.lucene.analysis.cn.smart;
SegToken.java; org.apache.lucene.analysis.cn.smart.hhmm;
SegTokenPair.java; org.apache.lucene.analysis.cn.smart.hhmm;
Constants.java; org.apache.lucene.benchmark;
Token.java; org.apache.lucene.benchmark.byTask.feeds.demohtml;
MemUsage.java; org.apache.lucene.benchmark.stats;
QueryData.java; org.apache.lucene.benchmark.stats;
NativePosixUtil.java; org.apache.lucene.store;
DistanceUtils.java; org.apache.lucene.spatial;
SegmentWriteState.java; org.apache.lucene.index;
IndexFileNames.java; org.apache.lucene.index;
FieldCache.java; org.apache.lucene.search;
NumericUtils.java; org.apache.lucene.util;
ClusteringParams.java; org.apache.solr.handler.clustering;
ExtractingParams.java; org.apache.solr.handler.extraction;
SpellingParams.java; org.apache.solr.common.params;
UpdateParams.java; org.apache.solr.common.params;
ShardParams.java; org.apache.solr.common.params;
MoreLikeThisParams.java; org.apache.solr.common.params;
CoreAdminParams.java; org.apache.solr.common.params;
TermVectorParams.java; org.apache.solr.common.params;
SpatialParams.java; org.apache.solr.common.params;
FacetParams.java; org.apache.solr.common.params;
CommonParams.java; org.apache.solr.common.params;
TermsParams.java; org.apache.solr.common.params;
DisMaxParams.java; org.apache.solr.common.params;
HighlightParams.java; org.apache.solr.common.params;
ShardRequest.java; org.apache.solr.handler.component;
SpatialOptions.java; org.apache.solr.search;
QueryParsing.java; org.apache.solr.search;
SpellingOptions.java; org.apache.solr.spelling;
DeleteUpdateCommand.java; org.apache.solr.update;
AddUpdateCommand.java; org.apache.solr.update;
CommitUpdateCommand.java; org.apache.solr.update;
