read:;ImageFigure.java:;package;CH.ifa.draw.figures;[in;ImageFigure.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];15
addToSelection:;StandardDrawingView.java:;package;CH.ifa.draw.standard;[in;StandardDrawingView.java;[in;CH.ifa.draw.standard;[in;src;[in;JHotDraw_5.2]]]];11
promptSaveAs:;DrawApplication.java:;package;CH.ifa.draw.application;[in;DrawApplication.java;[in;CH.ifa.draw.application;[in;src;[in;JHotDraw_5.2]]]];18
setAttribute:;GraphicalCompositeFigure.java:;package;CH.ifa.draw.contrib;[in;GraphicalCompositeFigure.java;[in;CH.ifa.draw.contrib;[in;src;[in;JHotDraw_5.2]]]];17
setText:;TextFigure.java:;package;CH.ifa.draw.figures;[in;TextFigure.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];11
read:;AbstractLineDecoration.java:;package;CH.ifa.draw.figures;[in;AbstractLineDecoration.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];15
invokeEnd:;ConnectionHandle.java:;package;CH.ifa.draw.standard;[in;ConnectionHandle.java;[in;CH.ifa.draw.standard;[in;src;[in;JHotDraw_5.2]]]];18
loadRegisteredImages:;Iconkit.java:;package;CH.ifa.draw.util;[in;Iconkit.java;[in;CH.ifa.draw.util;[in;src;[in;JHotDraw_5.2]]]];25
getLayouter:;GraphicalCompositeFigure.java:;package;CH.ifa.draw.contrib;[in;GraphicalCompositeFigure.java;[in;CH.ifa.draw.contrib;[in;src;[in;JHotDraw_5.2]]]];11
willChange:;Figure.java:;package;CH.ifa.draw.framework;[in;Figure.java;[in;CH.ifa.draw.framework;[in;src;[in;JHotDraw_5.2]]]];15
findConnector:;NodeFigure.java:;package;CH.ifa.draw.samples.net;[in;NodeFigure.java;[in;CH.ifa.draw.samples.net;[in;src;[in;JHotDraw_5.2]]]];16
promptOpen:;DrawApplication.java:;package;CH.ifa.draw.application;[in;DrawApplication.java;[in;CH.ifa.draw.application;[in;src;[in;JHotDraw_5.2]]]];17
figureRequestRemove:;GraphicalCompositeFigure.java:;package;CH.ifa.draw.contrib;[in;GraphicalCompositeFigure.java;[in;CH.ifa.draw.contrib;[in;src;[in;JHotDraw_5.2]]]];13
promptNew:;MDI_DrawApplication.java:;package;CH.ifa.draw.contrib;[in;[Working;copy];MDI_DrawApplication.java;[in;CH.ifa.draw.contrib;[in;src;[in;JHotDraw_5.2]]]];12
distanceFromLine:;PolygonFigure.java:;package;CH.ifa.draw.contrib;[in;PolygonFigure.java;[in;CH.ifa.draw.contrib;[in;src;[in;JHotDraw_5.2]]]];70
getAttribute:;PolyLineFigure.java:;package;CH.ifa.draw.figures;[in;PolyLineFigure.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];19
handles:;StandardDrawing.java:;package;CH.ifa.draw.standard;[in;StandardDrawing.java;[in;CH.ifa.draw.standard;[in;src;[in;JHotDraw_5.2]]]];12
print:;DrawApplication.java:;package;CH.ifa.draw.application;[in;DrawApplication.java;[in;CH.ifa.draw.application;[in;src;[in;JHotDraw_5.2]]]];18
ToolButton:;ToolButton.java:;package;CH.ifa.draw.standard;[in;ToolButton.java;[in;CH.ifa.draw.standard;[in;src;[in;JHotDraw_5.2]]]];29
angleToPoint:;Geom.java:;package;CH.ifa.draw.util;[in;Geom.java;[in;CH.ifa.draw.util;[in;src;[in;JHotDraw_5.2]]]];21
handleConnect:;PertDependency.java:;package;CH.ifa.draw.samples.pert;[in;PertDependency.java;[in;CH.ifa.draw.samples.pert;[in;src;[in;JHotDraw_5.2]]]];11
draw:;AttributeFigure.java:;package;CH.ifa.draw.figures;[in;AttributeFigure.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];16
createFontSizeMenu:;DrawApplication.java:;package;CH.ifa.draw.application;[in;DrawApplication.java;[in;CH.ifa.draw.application;[in;src;[in;JHotDraw_5.2]]]];16
chop:;PolyLineConnector.java:;package;CH.ifa.draw.figures;[in;PolyLineConnector.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];45
readDouble:;StorableInput.java:;package;CH.ifa.draw.util;[in;StorableInput.java;[in;CH.ifa.draw.util;[in;src;[in;JHotDraw_5.2]]]];11
intersect:;Geom.java:;package;CH.ifa.draw.util;[in;Geom.java;[in;CH.ifa.draw.util;[in;src;[in;JHotDraw_5.2]]]];55
createContents:;SplitPaneDrawApplication.java:;package;CH.ifa.draw.contrib;[in;SplitPaneDrawApplication.java;[in;CH.ifa.draw.contrib;[in;src;[in;JHotDraw_5.2]]]];21
loadDrawing:;DrawApplication.java:;package;CH.ifa.draw.application;[in;DrawApplication.java;[in;CH.ifa.draw.application;[in;src;[in;JHotDraw_5.2]]]];18
createImagesMenu:;JavaDrawApp.java:;package;CH.ifa.draw.samples.javadraw;[in;JavaDrawApp.java;[in;CH.ifa.draw.samples.javadraw;[in;src;[in;JHotDraw_5.2]]]];13
read:;AttributeFigure.java:;package;CH.ifa.draw.figures;[in;AttributeFigure.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];11
findConnectableFigure:;ConnectionHandle.java:;package;CH.ifa.draw.standard;[in;ConnectionHandle.java;[in;CH.ifa.draw.standard;[in;src;[in;JHotDraw_5.2]]]];11
getOrigin:;TriangleRotationHandle.java:;package;CH.ifa.draw.contrib;[in;TriangleRotationHandle.java;[in;CH.ifa.draw.contrib;[in;src;[in;JHotDraw_5.2]]]];16
open:;DrawApplication.java:;package;CH.ifa.draw.application;[in;DrawApplication.java;[in;CH.ifa.draw.application;[in;src;[in;JHotDraw_5.2]]]];47
outermostPoint:;PolygonFigure.java:;package;CH.ifa.draw.contrib;[in;PolygonFigure.java;[in;CH.ifa.draw.contrib;[in;src;[in;JHotDraw_5.2]]]];18
drawPattern:;PatternPainter.java:;package;CH.ifa.draw.samples.javadraw;[in;PatternPainter.java;[in;CH.ifa.draw.samples.javadraw;[in;src;[in;JHotDraw_5.2]]]];18
insertPointAt:;PolygonFigure.java:;package;CH.ifa.draw.contrib;[in;PolygonFigure.java;[in;CH.ifa.draw.contrib;[in;src;[in;JHotDraw_5.2]]]];22
invokeStart:;AbstractHandle.java:;package;CH.ifa.draw.standard;[in;AbstractHandle.java;[in;CH.ifa.draw.standard;[in;src;[in;JHotDraw_5.2]]]];12
getAttribute:;AttributeFigure.java:;package;CH.ifa.draw.figures;[in;AttributeFigure.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];13
loadImage:;Iconkit.java:;package;CH.ifa.draw.util;[in;Iconkit.java;[in;CH.ifa.draw.util;[in;src;[in;JHotDraw_5.2]]]];11
init:;JavaDrawViewer.java:;package;CH.ifa.draw.samples.javadraw;[in;JavaDrawViewer.java;[in;CH.ifa.draw.samples.javadraw;[in;src;[in;JHotDraw_5.2]]]];15
write:;PolyLineFigure.java:;package;CH.ifa.draw.figures;[in;PolyLineFigure.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];13
saveDrawing:;DrawApplication.java:;package;CH.ifa.draw.application;[in;DrawApplication.java;[in;CH.ifa.draw.application;[in;src;[in;JHotDraw_5.2]]]];11
createContents:;MDI_DrawApplication.java:;package;CH.ifa.draw.contrib;[in;[Working;copy];MDI_DrawApplication.java;[in;CH.ifa.draw.contrib;[in;src;[in;JHotDraw_5.2]]]];33
createTools:;JavaDrawApp.java:;package;CH.ifa.draw.samples.javadraw;[in;JavaDrawApp.java;[in;CH.ifa.draw.samples.javadraw;[in;src;[in;JHotDraw_5.2]]]];41
mouseDown:;ActionTool.java:;package;CH.ifa.draw.standard;[in;ActionTool.java;[in;CH.ifa.draw.standard;[in;src;[in;JHotDraw_5.2]]]];11
read:;LineConnection.java:;package;CH.ifa.draw.figures;[in;LineConnection.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];11
needsLayout:;PertFigure.java:;package;CH.ifa.draw.samples.pert;[in;PertFigure.java;[in;CH.ifa.draw.samples.pert;[in;src;[in;JHotDraw_5.2]]]];11
makeInstance:;StorableInput.java:;package;CH.ifa.draw.util;[in;StorableInput.java;[in;CH.ifa.draw.util;[in;src;[in;JHotDraw_5.2]]]];15
includes:;CompositeFigure.java:;package;CH.ifa.draw.standard;[in;CompositeFigure.java;[in;CH.ifa.draw.standard;[in;src;[in;JHotDraw_5.2]]]];16
restore:;StandardStorageFormat.java:;package;CH.ifa.draw.util;[in;StandardStorageFormat.java;[in;CH.ifa.draw.util;[in;src;[in;JHotDraw_5.2]]]];16
enable:;CommandMenu.java:;package;CH.ifa.draw.util;[in;CommandMenu.java;[in;CH.ifa.draw.util;[in;src;[in;JHotDraw_5.2]]]];12
write:;FigureAttributes.java:;package;CH.ifa.draw.figures;[in;FigureAttributes.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];45
range:;Geom.java:;package;CH.ifa.draw.util;[in;Geom.java;[in;CH.ifa.draw.util;[in;src;[in;JHotDraw_5.2]]]];11
checkEnabled:;CommandMenu.java:;package;CH.ifa.draw.util;[in;CommandMenu.java;[in;CH.ifa.draw.util;[in;src;[in;JHotDraw_5.2]]]];12
readFromStorableInput:;DrawApplet.java:;package;CH.ifa.draw.applet;[in;DrawApplet.java;[in;CH.ifa.draw.applet;[in;src;[in;JHotDraw_5.2]]]];14
basicMoveBy:;LineConnection.java:;package;CH.ifa.draw.figures;[in;LineConnection.java;[in;CH.ifa.draw.figures;[in;src;[in;JHotDraw_5.2]]]];11
mouseDown:;URLTool.java:;package;CH.ifa.draw.samples.javadraw;[in;URLTool.java;[in;CH.ifa.draw.samples.javadraw;[in;src;[in;JHotDraw_5.2]]]];11
