LocationResolver.java: org.apache.tools.ant.taskdefs.optional.extension.resolvers
DoubleCPInfo.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
FloatCPInfo.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool
StringCPInfo.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
IntegerCPInfo.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool
ErrorInQuitException.java: org.apache.tools.mail
RmicAdapterFactory.java: org.apache.tools.ant.taskdefs.rmic
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
ClassPathLoader.java: org.apache.tools.ant.taskdefs.optional.sitraka.bytecode
UUMailer.java: org.apache.tools.ant.taskdefs.email
PackageNameMapper.java: org.apache.tools.ant.util
Sj.java: org.apache.tools.ant.taskdefs.compilers
Javac13.java: org.apache.tools.ant.taskdefs.compilers
VAJImportServlet.java: org.apache.tools.ant.taskdefs.optional.ide
RedirectingOutputStream.java: org.apache.tools.ant.taskdefs.cvslib
P4Sync.java: org.apache.tools.ant.taskdefs.optional.perforce
P4Have.java: org.apache.tools.ant.taskdefs.optional.perforce
Untar.java: org.apache.tools.ant.taskdefs
LongCPInfo.java: org.apache.tools.ant.taskdefs.optional.depend.constantpool
JspCompilerAdapterFactory.java: org.apache.tools.ant.taskdefs.optional.jsp.compilers
JavacExternal.java: org.apache.tools.ant.taskdefs.compilers
