Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",0,0,0,0,0,0,0,0,,,,,0,0,0,,2,,0,0,0,,0,0,0,0,,61,4,0,0,0,57,,,,0,0,0,0,,,,,,0,0,0,0,,,0,,,,0.00,0,0,0,0
File,"ABS.java",2,2,2,2,11,0,8,1,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,109,11,41,19,18,57,,,,25,31,16,15,,,,,,4,4,5,4,,,1,,,,1.39,6,6,7,6
File,"ABS.java",2,2,2,2,11,0,8,1,,,,,1,0,0,3,,3,3,0,3,,0,0,0,3,,80,9,40,18,18,31,,,,25,31,16,15,,,,,,4,4,5,4,,,1,,,,0.78,6,6,7,6
File,"ACOS.java",1,1,1,1,4,1,3,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,34,4,6,3,1,24,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,4.00,1,1,1,1
File,"ACOS.java",1,1,1,1,4,1,3,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,62,6,7,4,1,49,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,7.00,1,1,1,1
File,"ARITY.java",2,2,2,2,6,0,6,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,52,5,25,15,8,22,,,,14,19,13,6,,,,,,3,3,3,3,,,2,,,,0.88,4,4,4,4
File,"ASIN.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,32,2,6,3,1,24,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,4.00,1,1,1,1
File,"ASIN.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,60,4,7,4,1,49,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,7.00,1,1,1,1
File,"ATAN.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,32,2,6,3,1,24,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,4.00,1,1,1,1
File,"ATAN.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,60,4,7,4,1,49,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,7.00,1,1,1,1
File,"ATAN2.java",1,1,1,1,3,0,3,0,,,,,1,0,0,1,,1,1,0,1,,1,0,0,0,,54,2,6,3,1,46,,,,2,4,3,1,,,,,,1,1,1,1,,,0,,,,7.67,1,1,1,1
File,"AVG.java",3,3,3,2,15,1,13,1,,,,,4,3,1,15,,15,12,2,15,,0,0,3,12,,327,37,235,92,148,55,,,,129,172,85,87,,,,,,8,8,8,6,,,3,,,,0.23,48,48,52,33
File,"AccumulativeBag.java",1,1,1,1,3,0,3,0,,,,,1,0,1,17,,17,17,2,17,,0,0,0,17,,107,24,66,27,21,17,,,,28,47,27,20,,,,,,2,2,2,1,,,1,,,,0.26,18,18,18,17
File,"AccumulativeSumBag.java",2,2,2,1,6,0,6,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,74,12,41,17,16,21,,,,19,30,17,13,,,,,,5,5,6,4,,,2,,,,0.51,10,10,12,8
File,"AccumulativeTupleBuffer.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,4,4,0,4,,0,0,0,4,,57,7,10,9,0,40,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,4.00,0,0,0,0
File,"Accumulator.java",0,0,0,0,0,0,0,0,,,,,1,0,0,0,,3,3,0,3,,0,0,0,3,,56,5,12,11,0,39,,,,8,9,9,0,,,,,,0,0,0,0,,,0,,,,3.25,0,0,0,0
File,"AccumulatorBagCount.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,58,10,31,16,11,17,,,,16,24,16,8,,,,,,3,3,3,1,,,1,,,,0.55,7,7,7,5
File,"AccumulatorOptimizer.java",10,10,12,9,55,8,34,12,,,,,1,0,0,4,,4,4,1,4,,0,2,0,2,,282,41,170,47,95,71,,,,80,125,49,76,,,,,,15,15,19,15,,,3,,,,0.42,41,41,51,39
