Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"AbstractFetchSchedule.java",1,1,2,1,14,0,6,7,,,,,1,0,1,10,,10,10,2,10,,0,0,0,10,,194,15,80,27,42,100,,,,47,67,23,44,,,,,,4,4,6,1,,,2,,,,1.25,19,19,21,10
File,"AbstractTestbedHandler.java",1,1,1,1,5,0,5,0,,,,,1,0,0,2,,3,3,1,3,,0,0,0,3,,47,6,25,18,6,16,,,,15,18,14,4,,,,,,2,2,2,1,,,0,,,,0.64,3,3,3,2
File,"AdaptiveFetchSchedule.java",6,5,6,1,30,0,28,3,,,,,1,1,0,3,,3,2,6,3,,0,0,0,3,,163,12,100,33,72,55,,,,70,87,31,56,,,,,,9,8,9,1,,,3,,,,0.55,19,17,19,3
File,"AnchorIndexingFilter.java",2,2,2,1,12,2,8,1,,,,,1,0,1,3,,3,3,2,3,,0,0,0,3,,81,15,44,25,18,22,,,,28,35,23,12,,,,,,5,5,5,1,,,3,,,,0.50,8,8,8,3
File,"ArcInputFormat.java",1,1,1,1,13,0,6,7,,,,,1,0,0,1,,1,1,0,1,,0,0,0,1,,50,5,19,15,2,26,,,,12,14,12,2,,,,,,1,1,1,1,,,0,,,,1.37,1,1,1,1
File,"ArcRecordReader.java",3,3,3,2,27,2,14,9,,,,,1,1,2,8,,8,7,7,8,,0,0,0,8,,291,37,147,58,85,107,,,,89,115,55,60,,,,,,14,14,15,11,,,5,,,,0.73,25,25,27,21
File,"ArcSegmentCreator.java",3,3,3,1,28,2,18,7,,,,,1,2,3,11,,11,9,6,11,,0,2,0,9,,405,45,259,105,144,104,,,,148,187,93,94,,,,,,17,17,18,4,,,6,,,,0.40,37,37,38,16
File,"AutomatonURLFilter.java",1,1,1,1,4,0,4,0,,,,,2,1,2,8,,8,7,1,8,,2,0,3,3,,109,21,50,28,15,38,,,,26,37,26,11,,,,,,2,2,2,1,,,1,,,,0.76,9,9,9,8
File,"BasicIndexingFilter.java",4,4,4,1,21,3,16,2,,,,,1,0,1,3,,3,3,3,3,,0,0,0,3,,115,23,70,32,35,23,,,,45,56,31,25,,,,,,10,10,12,1,,,2,,,,0.33,12,12,14,3
File,"BasicURLNormalizer.java",3,3,3,1,25,4,16,6,,,,,3,0,1,6,,6,6,9,6,,0,1,1,4,,220,45,122,40,84,61,,,,69,89,39,50,,,,,,11,11,13,1,,,3,,,,0.50,18,18,20,6
