CompletionParser.java; org.eclipse.jdt.internal.codeassist.complete; 4773;
PublicScanner.java; org.eclipse.jdt.internal.core.util; 3904;
JavaModelManager.java; org.eclipse.jdt.internal.core; 4839;
Scribe.java; org.eclipse.jdt.internal.formatter; 4284;
Scope.java; org.eclipse.jdt.internal.compiler.lookup; 3933;
DefaultCodeFormatterConstants.java; org.eclipse.jdt.core.formatter; 3667;
CodeStream.java; org.eclipse.jdt.internal.compiler.codegen; 6715;
Parser.java; org.eclipse.jdt.internal.compiler.parser; 10668;
ClassFile.java; org.eclipse.jdt.internal.compiler; 8544;
JavaCore.java; org.eclipse.jdt.core; 4967;
CodeFormatterVisitor.java; org.eclipse.jdt.internal.formatter; 5435;
ASTConverter.java; org.eclipse.jdt.core.dom; 5223;
Scanner.java; org.eclipse.jdt.internal.compiler.parser; 3907;
Main.java; org.eclipse.jdt.internal.compiler.batch; 4272;
