RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers Repository.java: net.sourceforge.atunes.kernel.modules.repository 1->2: 0  2->1: 205
ApplicationDataHandler.java: net.sourceforge.atunes.kernel.handlers Radio.java: net.sourceforge.atunes.kernel.modules.radio 1->2: 0  2->1: 12
ID3v2Tag.java: net.sourceforge.atunes.kernel.modules.repository.tags.tag ID3v1_1Tag.java: net.sourceforge.atunes.kernel.modules.repository.tags.tag 1->2: 2  2->1: 12
NodeToSongsTranslator.java: net.sourceforge.atunes.kernel.controllers.navigation AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 0  2->1: 68
MPlayerHandler.java: net.sourceforge.atunes.kernel.modules.mplayer Radio.java: net.sourceforge.atunes.kernel.modules.radio 1->2: 0  2->1: 13
RendererSingleton.java: net.sourceforge.atunes.gui.views Artist.java: net.sourceforge.atunes.model.info 1->2: 0  2->1: 46
RefreshUtils.java: net.sourceforge.atunes.kernel.controllers.navigation Folder.java: net.sourceforge.atunes.model.info 1->2: 0  2->1: 12
SystemTrayHandler.java: net.sourceforge.atunes.kernel.handlers LanguageTool.java: net.sourceforge.atunes.utils.language 1->2: 0  2->1: 26
ApplicationVersion.java: net.sourceforge.atunes.kernel.modules.updates ApplicationUpdates.java: net.sourceforge.atunes.kernel.modules.updates 1->2: 16  2->1: 0
GeneralPanel.java: net.sourceforge.atunes.gui.views.dialogs.editPreferences LanguageTool.java: net.sourceforge.atunes.utils.language 1->2: 1  2->1: 39
SetGenresProcess.java: net.sourceforge.atunes.kernel.executors.processes Genre.java: net.sourceforge.atunes.model.info 1->2: 0  2->1: 12
PlayListController.java: net.sourceforge.atunes.kernel.controllers.playList PlayListHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 16  2->1: 78
PlayListTableModel.java: net.sourceforge.atunes.gui.model AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 2  2->1: 33
VisualHandler.java: net.sourceforge.atunes.kernel.handlers RadioHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 8  2->1: 32
StatsDialog.java: net.sourceforge.atunes.gui.views.dialogs StatsDialogController.java: net.sourceforge.atunes.kernel.controllers.stats 1->2: 30  2->1: 0
OggEncoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders Encoder.java: net.sourceforge.atunes.kernel.modules.cdripper.encoders 1->2: 8  2->1: 8
AbstractPlayer.java: net.sourceforge.atunes.kernel.handlers PlayListCommonOps.java: net.sourceforge.atunes.kernel.modules.playlist 1->2: 23  2->1: 2
NodeToSongsTranslator.java: net.sourceforge.atunes.kernel.controllers.navigation CollectionUtils.java: net.sourceforge.atunes.utils 1->2: 0  2->1: 14
RepositoryLoader.java: net.sourceforge.atunes.kernel.modules.repository Repository.java: net.sourceforge.atunes.kernel.modules.repository 1->2: 1  2->1: 95
StandardFrame.java: net.sourceforge.atunes.gui ApplicationMenuBar.java: net.sourceforge.atunes.gui.views.menu 1->2: 12  2->1: 6
PlayListTable.java: net.sourceforge.atunes.gui.views.controls.playList RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 28  2->1: 4
PlayListTableModel.java: net.sourceforge.atunes.gui.model PlayListController.java: net.sourceforge.atunes.kernel.controllers.playList 1->2: 55  2->1: 5
PlayListController.java: net.sourceforge.atunes.kernel.controllers.playList AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 0  2->1: 65
NodeToSongsTranslator.java: net.sourceforge.atunes.kernel.controllers.navigation Radio.java: net.sourceforge.atunes.kernel.modules.radio 1->2: 0  2->1: 34
PlayListIO.java: net.sourceforge.atunes.kernel.modules.playlist AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 6  2->1: 27
ControllerProxy.java: net.sourceforge.atunes.kernel ExportOptionsDialogController.java: net.sourceforge.atunes.kernel.controllers.exportOptionsDialog 1->2: 11  2->1: 6
AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio ID3v1_1Tag.java: net.sourceforge.atunes.kernel.modules.repository.tags.tag 1->2: 8  2->1: 10
PlayerControlsPanel.java: net.sourceforge.atunes.gui.views.panels AbstractPlayer.java: net.sourceforge.atunes.kernel.handlers 1->2: 1  2->1: 63
CoverNavigatorFrame.java: net.sourceforge.atunes.gui.views.dialogs Album.java: net.sourceforge.atunes.model.info 1->2: 0  2->1: 15
AudioScrobblerAlbum.java: net.sourceforge.atunes.kernel.modules.audioscrobbler AudioScrobblerService.java: net.sourceforge.atunes.kernel.modules.audioscrobbler 1->2: 20  2->1: 3
AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio Artist.java: net.sourceforge.atunes.model.info 1->2: 12  2->1: 18
NavigationController.java: net.sourceforge.atunes.kernel.controllers.navigation NavigationTreeControlsActionListener.java: net.sourceforge.atunes.kernel.controllers.navigation.listeners 1->2: 17  2->1: 4
ExportOptionsDialogActionListener.java: net.sourceforge.atunes.kernel.controllers.exportOptionsDialog ExportOptionsDialogController.java: net.sourceforge.atunes.kernel.controllers.exportOptionsDialog 1->2: 5  2->1: 15
FilePropertiesController.java: net.sourceforge.atunes.kernel.controllers.fileProperties RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 13  2->1: 17
RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers LanguageTool.java: net.sourceforge.atunes.utils.language 1->2: 4  2->1: 22
PlayListHandler.java: net.sourceforge.atunes.kernel.handlers PlayList.java: net.sourceforge.atunes.model.player 1->2: 1  2->1: 146
PlayListHandler.java: net.sourceforge.atunes.kernel.handlers PlayListIO.java: net.sourceforge.atunes.kernel.modules.playlist 1->2: 11  2->1: 12
Tag.java: net.sourceforge.atunes.kernel.modules.repository.tags.tag TagModifier.java: net.sourceforge.atunes.kernel.modules.repository.tags.writer 1->2: 27  2->1: 3
StandardFrame.java: net.sourceforge.atunes.gui AudioScrobblerPanel.java: net.sourceforge.atunes.gui.views.dialogs.editPreferences 1->2: 0  2->1: 11
PlayListListener.java: net.sourceforge.atunes.kernel.controllers.playList PlayListHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 0  2->1: 73
Submitter.java: net.sourceforge.atunes.kernel.modules.audioscrobbler.submitter NetworkUtils.java: net.sourceforge.atunes.kernel.modules.network 1->2: 0  2->1: 23
BackgroundExecutor.java: net.sourceforge.atunes.kernel.executors RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 6  2->1: 10
PlayListColumns.java: net.sourceforge.atunes.gui.views.controls.playList RepositoryHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 0  2->1: 20
Cdda2wav.java: net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav Device.java: net.sourceforge.atunes.kernel.modules.cdripper.cdda2wav.model 1->2: 0  2->1: 15
PlayListControlsListener.java: net.sourceforge.atunes.kernel.controllers.playListControls PlayListHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 0  2->1: 32
NavigationPanel.java: net.sourceforge.atunes.gui.views.panels NavigationMenusActionListener.java: net.sourceforge.atunes.kernel.controllers.navigation.listeners 1->2: 67  2->1: 0
BackgroundExecutor.java: net.sourceforge.atunes.kernel.executors SetAlbumNamesProcess.java: net.sourceforge.atunes.kernel.executors.processes 1->2: 1  2->1: 21
AudioScrobblerController.java: net.sourceforge.atunes.kernel.controllers.audioScrobbler AudioScrobblerAlbum.java: net.sourceforge.atunes.kernel.modules.audioscrobbler 1->2: 0  2->1: 53
DockableWindow.java: net.sourceforge.atunes.gui.dockableView MouseResizeListener.java: net.sourceforge.atunes.gui.dockableView 1->2: 27  2->1: 71
Kernel.java: net.sourceforge.atunes.kernel ApplicationDataHandler.java: net.sourceforge.atunes.kernel.handlers 1->2: 59  2->1: 6
ApplicationMenuBar.java: net.sourceforge.atunes.gui.views.menu LanguageTool.java: net.sourceforge.atunes.utils.language 1->2: 0  2->1: 152
Proxy.java: net.sourceforge.atunes.kernel.modules.proxy ApplicationUpdates.java: net.sourceforge.atunes.kernel.modules.updates 1->2: 12  2->1: 0
PlayListColumns.java: net.sourceforge.atunes.gui.views.controls.playList AudioFile.java: net.sourceforge.atunes.kernel.modules.repository.audio 1->2: 0  2->1: 253
NavigationMenusActionListener.java: net.sourceforge.atunes.kernel.controllers.navigation.listeners Radio.java: net.sourceforge.atunes.kernel.modules.radio 1->2: 0  2->1: 24
