JavaCore.java; org.eclipse.jdt.core
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
CompletionParser.java; org.eclipse.jdt.internal.codeassist.complete
AssistParser.java; org.eclipse.jdt.internal.codeassist.impl
ClassFile.java; org.eclipse.jdt.internal.compiler
OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast
Label.java; org.eclipse.jdt.internal.compiler.codegen
CompilerOptions.java; org.eclipse.jdt.internal.compiler.impl
MatchingOpenable.java; org.eclipse.jdt.internal.core.search.matching
VariablesEvaluator.java; org.eclipse.jdt.internal.eval
CodeFormatter.java; org.eclipse.jdt.internal.formatter
SplitLine.java; org.eclipse.jdt.internal.formatter.impl
