JDTCompilerAdapter.java; org.eclipse.jdt.core
JavaCore.java; org.eclipse.jdt.core
ASTParser.java; org.eclipse.jdt.core.dom
CompletionParser.java; org.eclipse.jdt.internal.codeassist.complete
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
AssistParser.java; org.eclipse.jdt.internal.codeassist.impl
ClassFile.java; org.eclipse.jdt.internal.compiler
OperatorExpression.java; org.eclipse.jdt.internal.compiler.ast
Label.java; org.eclipse.jdt.internal.compiler.codegen
DiagnoseParser.java; org.eclipse.jdt.internal.compiler.parser.diagnose
JavaModelStatus.java; org.eclipse.jdt.internal.core
SetClasspathOperation.java; org.eclipse.jdt.internal.core
PublicScanner.java; org.eclipse.jdt.internal.core.util
VariablesEvaluator.java; org.eclipse.jdt.internal.eval
DefaultCodeFormatterOptions.java; org.eclipse.jdt.internal.formatter
Scribe.java; org.eclipse.jdt.internal.formatter
