CodeFormatterVisitor.java; org.eclipse.jdt.internal.formatter; 5399;
JavaCore.java; org.eclipse.jdt.core; 4908;
Main.java; org.eclipse.jdt.internal.compiler.batch; 4126;
ASTConverter.java; org.eclipse.jdt.core.dom; 5222;
Scope.java; org.eclipse.jdt.internal.compiler.lookup; 3727;
CodeStream.java; org.eclipse.jdt.internal.compiler.codegen; 6702;
Scanner.java; org.eclipse.jdt.internal.compiler.parser; 3893;
ClassFile.java; org.eclipse.jdt.internal.compiler; 8536;
CompletionParser.java; org.eclipse.jdt.internal.codeassist.complete; 4674;
Scribe.java; org.eclipse.jdt.internal.formatter; 3912;
JavaModelManager.java; org.eclipse.jdt.internal.core; 4516;
Parser.java; org.eclipse.jdt.internal.compiler.parser; 10489;
DefaultCodeFormatterConstants.java; org.eclipse.jdt.core.formatter; 3614;
PublicScanner.java; org.eclipse.jdt.internal.core.util; 3890;
