SelectionOnQualifiedSuperReference.java; org.eclipse.jdt.internal.codeassist.select
BatchOperation.java; org.eclipse.jdt.internal.core
LocalVariableTypeAttribute.java; org.eclipse.jdt.internal.core.util
SelectionOnParameterizedSingleTypeReference.java; org.eclipse.jdt.internal.codeassist.select
TypeNameRequestorWrapper.java; org.eclipse.jdt.internal.core.search
RemoveFromIndex.java; org.eclipse.jdt.internal.core.search.indexing
ResourceCompilationUnit.java; org.eclipse.jdt.internal.core.util
SelectionOnFieldReference.java; org.eclipse.jdt.internal.codeassist.select
CompletionOnMarkerAnnotationName.java; org.eclipse.jdt.internal.codeassist.complete
DocumentAdapter.java; org.eclipse.jdt.internal.core
