MetaReader.java: org.apache.hadoop.hbase.catalog Pair.java: org.apache.hadoop.hbase.util 1->2: 4  2->1: 77
AccessControlLists.java: org.apache.hadoop.hbase.security.access KeyValue.java: org.apache.hadoop.hbase 1->2: 2  2->1: 124
KeyValueScanner.java: org.apache.hadoop.hbase.regionserver StoreScanner.java: org.apache.hadoop.hbase.regionserver 1->2: 114  2->1: 36
HTableDescriptor.java: org.apache.hadoop.hbase TestLoadIncrementalHFilesSplitRecovery.java: org.apache.hadoop.hbase.mapreduce 1->2: 18  2->1: 142
HBaseConfiguration.java: org.apache.hadoop.hbase HBaseTestingUtility.java: org.apache.hadoop.hbase 1->2: 127  2->1: 0
MetaReader.java: org.apache.hadoop.hbase.catalog HTable.java: org.apache.hadoop.hbase.client 1->2: 228  2->1: 356
Get.java: org.apache.hadoop.hbase.client FilterList.java: org.apache.hadoop.hbase.filter 1->2: 14  2->1: 22
MultiPut.java: org.apache.hadoop.hbase.client Operation.java: org.apache.hadoop.hbase.client 1->2: 7  2->1: 21
TestTableSchemaModel.java: org.apache.hadoop.hbase.rest.model TestColumnSchemaModel.java: org.apache.hadoop.hbase.rest.model 1->2: 15  2->1: 23
HRegionInfo.java: org.apache.hadoop.hbase TestMetaReaderEditorNoCluster.java: org.apache.hadoop.hbase.catalog 1->2: 38  2->1: 0
HTable.java: org.apache.hadoop.hbase.client HFileOutputFormat.java: org.apache.hadoop.hbase.mapreduce 1->2: 188  2->1: 0
ServerName.java: org.apache.hadoop.hbase DefaultLoadBalancer.java: org.apache.hadoop.hbase.master 1->2: 314  2->1: 0
MasterObserver.java: org.apache.hadoop.hbase.coprocessor TestMasterObserver.java: org.apache.hadoop.hbase.coprocessor 1->2: 203  2->1: 0
Put.java: org.apache.hadoop.hbase.client TestMergeTool.java: org.apache.hadoop.hbase.util 1->2: 79  2->1: 0
KeyValue.java: org.apache.hadoop.hbase TestDependentColumnFilter.java: org.apache.hadoop.hbase.filter 1->2: 291  2->1: 0
Get.java: org.apache.hadoop.hbase.client SimpleRegionObserver.java: org.apache.hadoop.hbase.coprocessor 1->2: 64  2->1: 0
AssignmentManager.java: org.apache.hadoop.hbase.master ZKUtil.java: org.apache.hadoop.hbase.zookeeper 1->2: 5  2->1: 37
AvroUtil.java: org.apache.hadoop.hbase.avro Get.java: org.apache.hadoop.hbase.client 1->2: 0  2->1: 39
HTableDescriptor.java: org.apache.hadoop.hbase OpenRegionHandler.java: org.apache.hadoop.hbase.regionserver.handler 1->2: 29  2->1: 27
WALEdit.java: org.apache.hadoop.hbase.regionserver.wal TestHLogSplit.java: org.apache.hadoop.hbase.regionserver.wal 1->2: 98  2->1: 0
Scan.java: org.apache.hadoop.hbase.client BaseRegionObserver.java: org.apache.hadoop.hbase.coprocessor 1->2: 116  2->1: 55
KeyValue.java: org.apache.hadoop.hbase KeyValueHeap.java: org.apache.hadoop.hbase.regionserver 1->2: 659  2->1: 5
HDFSBlocksDistribution.java: org.apache.hadoop.hbase TestHRegion.java: org.apache.hadoop.hbase.regionserver 1->2: 271  2->1: 0
ReplicationSourceManager.java: org.apache.hadoop.hbase.replication.regionserver ReplicationSourceDummy.java: org.apache.hadoop.hbase.replication 1->2: 7  2->1: 32
ImmutableBytesWritable.java: org.apache.hadoop.hbase.io TestImmutableBytesWritable.java: org.apache.hadoop.hbase.io 1->2: 156  2->1: 0
TestAccessController.java: org.apache.hadoop.hbase.security.access HServerAddress.java: org.apache.hadoop.hbase 1->2: 0  2->1: 40
Bytes.java: org.apache.hadoop.hbase.util TestCellSetModel.java: org.apache.hadoop.hbase.rest.model 1->2: 117  2->1: 0
HConnection.java: org.apache.hadoop.hbase.client TestHCM.java: org.apache.hadoop.hbase.client 1->2: 33  2->1: 0
ImmutableBytesWritable.java: org.apache.hadoop.hbase.io VerifyReplication.java: org.apache.hadoop.hbase.mapreduce.replication 1->2: 60  2->1: 0
Result.java: org.apache.hadoop.hbase.client GroupingTableMap.java: org.apache.hadoop.hbase.mapred 1->2: 46  2->1: 8
HTablePool.java: org.apache.hadoop.hbase.client RowResultGenerator.java: org.apache.hadoop.hbase.rest 1->2: 12  2->1: 17
InclusiveStopFilter.java: org.apache.hadoop.hbase.filter Bytes.java: org.apache.hadoop.hbase.util 1->2: 22  2->1: 9
