WikipediaTokenizerImpl.java; org.apache.lucene.analysis.wikipedia
HTMLParserTokenManager.java; org.apache.lucene.benchmark.byTask.feeds.demohtml
ReadTask.java; org.apache.lucene.benchmark.byTask.tasks
InstantiatedIndexWriter.java; org.apache.lucene.store.instantiated
ExactPhraseScorer.java; org.apache.lucene.search
ConcurrentLRUCache.java; org.apache.solr.common.util
SynonymFilter.java; org.apache.solr.analysis
WordDelimiterFilter.java; org.apache.solr.analysis
CSVResponseWriter.java; org.apache.solr.response
SortedIntDocSet.java; org.apache.solr.search
ExtendedDismaxQParserPlugin.java; org.apache.solr.search
