IJavaElementDelta.java; org.eclipse.jdt.core
CompletionContext.java; org.eclipse.jdt.core
ICompilationUnit.java; org.eclipse.jdt.core
IJavaModelStatusConstants.java; org.eclipse.jdt.core
Flags.java; org.eclipse.jdt.core
CategorizedProblem.java; org.eclipse.jdt.core.compiler
IBinding.java; org.eclipse.jdt.core.dom
ICodeSnippetRequestor.java; org.eclipse.jdt.core.eval
CodeFormatter.java; org.eclipse.jdt.core.formatter
IDOMNode.java; org.eclipse.jdt.core.jdom
ClassFileBytesDisassembler.java; org.eclipse.jdt.core.util
IVerificationTypeInfo.java; org.eclipse.jdt.core.util
CompletionScanner.java; org.eclipse.jdt.internal.codeassist.complete
CompletionOnSingleNameReference.java; org.eclipse.jdt.internal.codeassist.complete
AssistOptions.java; org.eclipse.jdt.internal.codeassist.impl
ExtraFlags.java; org.eclipse.jdt.internal.compiler
Opcodes.java; org.eclipse.jdt.internal.compiler.codegen
FlowContext.java; org.eclipse.jdt.internal.compiler.flow
InitializationFlowContext.java; org.eclipse.jdt.internal.compiler.flow
FlowInfo.java; org.eclipse.jdt.internal.compiler.flow
UnconditionalFlowInfo.java; org.eclipse.jdt.internal.compiler.flow
CompilerStats.java; org.eclipse.jdt.internal.compiler.impl
ProblemHandler.java; org.eclipse.jdt.internal.compiler.problem
SuffixConstants.java; org.eclipse.jdt.internal.compiler.util
SimpleLookupTable.java; org.eclipse.jdt.internal.compiler.util
TypeParameterElementInfo.java; org.eclipse.jdt.internal.core
RewriteEvent.java; org.eclipse.jdt.internal.core.dom.rewrite
HierarchyType.java; org.eclipse.jdt.internal.core.hierarchy
ConstructorDeclarationPattern.java; org.eclipse.jdt.internal.core.search.matching
RecordedParsingInformation.java; org.eclipse.jdt.internal.core.util
EvaluationConstants.java; org.eclipse.jdt.internal.eval
ICodeFormatterConstants.java; org.eclipse.jdt.internal.formatter
