SelectionOnImportReference.java; org.eclipse.jdt.internal.codeassist.select
SelectionOnNameOfMemberValuePair.java; org.eclipse.jdt.internal.codeassist.select
AssistImportDeclaration.java; org.eclipse.jdt.internal.codeassist.impl
SubTypeSearchJob.java; org.eclipse.jdt.internal.core.search
TypeNameRequestorWrapper.java; org.eclipse.jdt.internal.core.search
CompletionOnMethodTypeParameter.java; org.eclipse.jdt.internal.codeassist.complete
LongLiteralMinValue.java; org.eclipse.jdt.internal.compiler.ast
AnnotationMethodInfoWithAnnotations.java; org.eclipse.jdt.internal.compiler.classfmt
AssistAnnotation.java; org.eclipse.jdt.internal.codeassist.impl
ClassFilePool.java; org.eclipse.jdt.internal.compiler
CompletionOnMarkerAnnotationName.java; org.eclipse.jdt.internal.codeassist.complete
AssistInitializer.java; org.eclipse.jdt.internal.codeassist.impl
SiblingEnumeration.java; org.eclipse.jdt.internal.core.jdom
ImageBuilderInternalException.java; org.eclipse.jdt.internal.core.builder
RemoveFromIndex.java; org.eclipse.jdt.internal.core.search.indexing
ResourceCompilationUnit.java; org.eclipse.jdt.internal.core.util
CompletionOnStringLiteral.java; org.eclipse.jdt.internal.codeassist.complete
