CachedRow.java: org.hsqldb Row.java: org.hsqldb 1->2: 7  2->1: 27
HsqlProperties.java: org.hsqldb jdbcConnection.java: org.hsqldb 1->2: 26  2->1: 3
Cache.java: org.hsqldb TextCache.java: org.hsqldb 1->2: 29  2->1: 15
Node.java: org.hsqldb Log.java: org.hsqldb 1->2: 28  2->1: 2
DatabaseRowOutput.java: org.hsqldb BinaryDatabaseRowOutput.java: org.hsqldb 1->2: 35  2->1: 35
TableFilter.java: org.hsqldb Index.java: org.hsqldb 1->2: 5  2->1: 40
DatabaseFile.java: org.hsqldb ReverseDatabaseFile.java: org.hsqldb 1->2: 24  2->1: 12
DataAccessPoint.java: org.hsqldb.util TransferTable.java: org.hsqldb.util 1->2: 51  2->1: 2
HsqlDatabaseProperties.java: org.hsqldb Log.java: org.hsqldb 1->2: 47  2->1: 24
Transfer.java: org.hsqldb.util DatabaseManager.java: org.hsqldb.util 1->2: 33  2->1: 31
Select.java: org.hsqldb Column.java: org.hsqldb 1->2: 0  2->1: 80
Trace.java: org.hsqldb Tokenizer.java: org.hsqldb 1->2: 79  2->1: 0
TransferSQLText.java: org.hsqldb.util TransferTable.java: org.hsqldb.util 1->2: 9  2->1: 20
Parser.java: org.hsqldb TriggerDef.java: org.hsqldb 1->2: 8  2->1: 18
TransferTable.java: org.hsqldb.util TransferResultSet.java: org.hsqldb.util 1->2: 0  2->1: 33
Function.java: org.hsqldb Library.java: org.hsqldb 1->2: 2  2->1: 21
Database.java: org.hsqldb FindFile.java: org.hsqldb.sample 1->2: 20  2->1: 6
Parser.java: org.hsqldb Select.java: org.hsqldb 1->2: 5  2->1: 38
Table.java: org.hsqldb TextTable.java: org.hsqldb 1->2: 93  2->1: 89
Trace.java: org.hsqldb TableWorks.java: org.hsqldb 1->2: 52  2->1: 0
MemoryNode.java: org.hsqldb PointerNode.java: org.hsqldb 1->2: 26  2->1: 14
jdbcDriver.java: org.hsqldb DatabaseManager.java: org.hsqldb.util 1->2: 7  2->1: 18
Server.java: org.hsqldb jdbcResultSet.java: org.hsqldb 1->2: 86  2->1: 8
DatabaseScript.java: org.hsqldb UserManager.java: org.hsqldb 1->2: 0  2->1: 90
Trace.java: org.hsqldb WebServer.java: org.hsqldb 1->2: 63  2->1: 0
jdbcPreparedStatement.java: org.hsqldb Trace.java: org.hsqldb 1->2: 2  2->1: 1046
WebServer.java: org.hsqldb Server.java: org.hsqldb 1->2: 14  2->1: 26
TransferTable.java: org.hsqldb.util Traceable.java: org.hsqldb.util 1->2: 0  2->1: 42
Database.java: org.hsqldb ZaurusDatabaseManager.java: org.hsqldb.util 1->2: 46  2->1: 30
TextCache.java: org.hsqldb TextTable.java: org.hsqldb 1->2: 14  2->1: 10
UserManager.java: org.hsqldb User.java: org.hsqldb 1->2: 14  2->1: 85
ZaurusEditor.java: org.hsqldb.util ZaurusDatabaseManager.java: org.hsqldb.util 1->2: 13  2->1: 13
jdbcDatabaseMetaData.java: org.hsqldb Library.java: org.hsqldb 1->2: 0  2->1: 617
Session.java: org.hsqldb jdbcConnection.java: org.hsqldb 1->2: 166  2->1: 38
CachedRow.java: org.hsqldb TextCache.java: org.hsqldb 1->2: 30  2->1: 1
Result.java: org.hsqldb DatabaseManager.java: org.hsqldb.util 1->2: 373  2->1: 0
Parser.java: org.hsqldb Tokenizer.java: org.hsqldb 1->2: 0  2->1: 260
jdbcPreparedStatement.java: org.hsqldb jdbcConnection.java: org.hsqldb 1->2: 91  2->1: 56
HsqlName.java: org.hsqldb TextTable.java: org.hsqldb 1->2: 19  2->1: 4
ReverseTextCache.java: org.hsqldb Log.java: org.hsqldb 1->2: 31  2->1: 8
Result.java: org.hsqldb Select.java: org.hsqldb 1->2: 172  2->1: 2
Server.java: org.hsqldb jdbcConnection.java: org.hsqldb 1->2: 29  2->1: 11
DatabaseManagerCommon.java: org.hsqldb.util DatabaseManagerSwing.java: org.hsqldb.util 1->2: 51  2->1: 13
Database.java: org.hsqldb jdbcResultSet.java: org.hsqldb 1->2: 56  2->1: 207
Index.java: org.hsqldb ZaurusTableForm.java: org.hsqldb.util 1->2: 109  2->1: 0
Grid.java: org.hsqldb.util DatabaseManagerSwing.java: org.hsqldb.util 1->2: 102  2->1: 0
Database.java: org.hsqldb DatabaseManager.java: org.hsqldb.util 1->2: 63  2->1: 49
Trace.java: org.hsqldb jdbcResultSet.java: org.hsqldb 1->2: 1340  2->1: 5
Database.java: org.hsqldb Tokenizer.java: org.hsqldb 1->2: 1  2->1: 299
Table.java: org.hsqldb DiskNode.java: org.hsqldb 1->2: 26  2->1: 63
Parser.java: org.hsqldb TextTable.java: org.hsqldb 1->2: 5  2->1: 183
Trace.java: org.hsqldb jdbcDatabaseMetaData.java: org.hsqldb 1->2: 1618  2->1: 0
CachedRow.java: org.hsqldb Cache.java: org.hsqldb 1->2: 126  2->1: 11
DataAccessPointException.java: org.hsqldb.util TransferSQLText.java: org.hsqldb.util 1->2: 99  2->1: 0
Trace.java: org.hsqldb Log.java: org.hsqldb 1->2: 239  2->1: 9
Database.java: org.hsqldb TableWorks.java: org.hsqldb 1->2: 44  2->1: 44
DatabaseScript.java: org.hsqldb User.java: org.hsqldb 1->2: 0  2->1: 30
Database.java: org.hsqldb TextCache.java: org.hsqldb 1->2: 21  2->1: 23
Transfer.java: org.hsqldb.util ZaurusDatabaseManager.java: org.hsqldb.util 1->2: 14  2->1: 11
TransferDb.java: org.hsqldb.util Transfer.java: org.hsqldb.util 1->2: 16  2->1: 13
DiskNode.java: org.hsqldb Row.java: org.hsqldb 1->2: 2  2->1: 46
ZaurusChoice.java: org.hsqldb.util ZaurusTableForm.java: org.hsqldb.util 1->2: 42  2->1: 0
Database.java: org.hsqldb HsqlDatabaseProperties.java: org.hsqldb 1->2: 17  2->1: 48
Trace.java: org.hsqldb HsqlDatabaseProperties.java: org.hsqldb 1->2: 60  2->1: 3
Node.java: org.hsqldb Row.java: org.hsqldb 1->2: 15  2->1: 41
Trace.java: org.hsqldb Expression.java: org.hsqldb 1->2: 63  2->1: 0
BinaryDatabaseRowOutput.java: org.hsqldb ByteArray.java: org.hsqldb 1->2: 1  2->1: 24
jdbcDriver.java: org.hsqldb DatabaseManagerSwing.java: org.hsqldb.util 1->2: 8  2->1: 18
Result.java: org.hsqldb ZaurusDatabaseManager.java: org.hsqldb.util 1->2: 186  2->1: 0
Trace.java: org.hsqldb DiskNode.java: org.hsqldb 1->2: 92  2->1: 4
Expression.java: org.hsqldb Column.java: org.hsqldb 1->2: 12  2->1: 77
DatabaseInformation.java: org.hsqldb Database.java: org.hsqldb 1->2: 8  2->1: 57
Database.java: org.hsqldb Trace.java: org.hsqldb 1->2: 4  2->1: 561
Constraint.java: org.hsqldb Table.java: org.hsqldb 1->2: 270  2->1: 57
jdbcPreparedStatement.java: org.hsqldb jdbcDatabaseMetaData.java: org.hsqldb 1->2: 45  2->1: 3
Result.java: org.hsqldb DatabaseScript.java: org.hsqldb 1->2: 130  2->1: 0
CachedRow.java: org.hsqldb DiskNode.java: org.hsqldb 1->2: 41  2->1: 12
Tokenizer.java: org.hsqldb TransferSQLText.java: org.hsqldb.util 1->2: 82  2->1: 0
Database.java: org.hsqldb DataAccessPoint.java: org.hsqldb.util 1->2: 8  2->1: 64
Trace.java: org.hsqldb ReverseTextCache.java: org.hsqldb 1->2: 26  2->1: 0
jdbcResultSet.java: org.hsqldb AsciiStringInputStream.java: org.hsqldb.lib 1->2: 0  2->1: 143
jdbcStatement.java: org.hsqldb Trace.java: org.hsqldb 1->2: 1  2->1: 483
Session.java: org.hsqldb Function.java: org.hsqldb 1->2: 27  2->1: 0
DataAccessPoint.java: org.hsqldb.util TransferDb.java: org.hsqldb.util 1->2: 115  2->1: 14
DatabaseScript.java: org.hsqldb Table.java: org.hsqldb 1->2: 1  2->1: 117
Transfer.java: org.hsqldb.util ConnectionDialog.java: org.hsqldb.util 1->2: 19  2->1: 41
Parser.java: org.hsqldb Column.java: org.hsqldb 1->2: 0  2->1: 99
Transfer.java: org.hsqldb.util DatabaseManagerSwing.java: org.hsqldb.util 1->2: 32  2->1: 31
User.java: org.hsqldb Session.java: org.hsqldb 1->2: 29  2->1: 9
Database.java: org.hsqldb TextTable.java: org.hsqldb 1->2: 14  2->1: 239
TestSelf.java: org.hsqldb.test TestHsql.java: org.hsqldb.test 1->2: 137  2->1: 242
Table.java: org.hsqldb Log.java: org.hsqldb 1->2: 40  2->1: 28
Library.java: org.hsqldb jdbcConnection.java: org.hsqldb 1->2: 330  2->1: 8
Result.java: org.hsqldb jdbcConnection.java: org.hsqldb 1->2: 521  2->1: 0
Database.java: org.hsqldb DatabaseManagerSwing.java: org.hsqldb.util 1->2: 68  2->1: 49
jdbcPreparedStatement.java: org.hsqldb Column.java: org.hsqldb 1->2: 13  2->1: 122
HsqlProperties.java: org.hsqldb HsqlDatabaseProperties.java: org.hsqldb 1->2: 49  2->1: 8
Trace.java: org.hsqldb Table.java: org.hsqldb 1->2: 225  2->1: 12
HelperFactory.java: org.hsqldb.util TransferHelper.java: org.hsqldb.util 1->2: 0  2->1: 26
Constraint.java: org.hsqldb Trace.java: org.hsqldb 1->2: 10  2->1: 52
Grid.java: org.hsqldb.util QueryTool.java: org.hsqldb.util 1->2: 40  2->1: 0
jdbcDriver.java: org.hsqldb jdbcConnection.java: org.hsqldb 1->2: 139  2->1: 9
BinaryDatabaseRowOutput.java: org.hsqldb CachedRow.java: org.hsqldb 1->2: 4  2->1: 50
ZaurusEditor.java: org.hsqldb.util ZaurusTableForm.java: org.hsqldb.util 1->2: 47  2->1: 60
Expression.java: org.hsqldb Function.java: org.hsqldb 1->2: 62  2->1: 45
jdbcDriver.java: org.hsqldb Trace.java: org.hsqldb 1->2: 1  2->1: 64
TableWorks.java: org.hsqldb Index.java: org.hsqldb 1->2: 0  2->1: 74
Database.java: org.hsqldb Server.java: org.hsqldb 1->2: 22  2->1: 10
ServerConnection.java: org.hsqldb Server.java: org.hsqldb 1->2: 24  2->1: 13
Constraint.java: org.hsqldb DatabaseScript.java: org.hsqldb 1->2: 74  2->1: 0
HsqlName.java: org.hsqldb Table.java: org.hsqldb 1->2: 50  2->1: 4
DatabaseManagerCommon.java: org.hsqldb.util ZaurusDatabaseManager.java: org.hsqldb.util 1->2: 38  2->1: 0
