RSSConnector.java: org.apache.manifoldcf.crawler.connectors.rss SpecificationNode.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 246
IOutputConnectionManager.java: org.apache.manifoldcf.agents.interfaces BigCrawlTester.java: org.apache.manifoldcf.rss_tests 1->2: 15  2->1: 0
CmisAuthorityConnector.java: org.apache.manifoldcf.crawler.connectors.cmis Messages.java: org.apache.manifoldcf.crawler.connectors.rss 1->2: 0  2->1: 55
BigCrawlTester.java: org.apache.manifoldcf.filesystem_tests FileHelper.java: org.apache.manifoldcf.filesystem_tests 1->2: 0  2->1: 16
MeridioAuthority.java: org.apache.manifoldcf.crawler.connectors.meridio Messages.java: org.apache.manifoldcf.agents.output.nullconnector 1->2: 2  2->1: 281
Messages.java: org.apache.manifoldcf.crawler.connectors.wiki Messages.java: org.apache.manifoldcf.core.i18n 1->2: 19  2->1: 40
MeridioAuthority.java: org.apache.manifoldcf.crawler.connectors.meridio StringSet.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 113
ElasticSearchSpecs.java: org.apache.manifoldcf.agents.output.elasticsearch ManifoldCFException.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 42
Messages.java: org.apache.manifoldcf.crawler.connectors.jdbc LivelinkAuthority.java: org.apache.manifoldcf.crawler.connectors.livelink 1->2: 95  2->1: 2
IOutputConnector.java: org.apache.manifoldcf.agents.interfaces ManifoldCFException.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 91
ManifoldCF.java: org.apache.manifoldcf.agents.system ManifoldCF.java: org.apache.manifoldcf.core.system 1->2: 9  2->1: 11
Messages.java: org.apache.manifoldcf.agents.output.gts WebcrawlerConnector.java: org.apache.manifoldcf.crawler.connectors.webcrawler 1->2: 1033  2->1: 0
DCTM.java: org.apache.manifoldcf.crawler.connectors.DCTM Base.java: org.apache.manifoldcf.core.tests 1->2: 0  2->1: 12
Messages.java: org.apache.manifoldcf.authorities.authorities.activedirectory AuthorityConnector.java: org.apache.manifoldcf.crawler.authorities.DCTM 1->2: 126  2->1: 0
Messages.java: org.apache.manifoldcf.crawler.connectors.sharepoint Messages.java: org.apache.manifoldcf.crawler.connectors.webcrawler 1->2: 126  2->1: 126
AuthenticationCredentials.java: org.apache.manifoldcf.crawler.connectors.webcrawler CredentialsDescription.java: org.apache.manifoldcf.crawler.connectors.webcrawler 1->2: 50  2->1: 0
SharedDriveConnector.java: org.apache.manifoldcf.crawler.connectors.sharedrive SharedDriveParameters.java: org.apache.manifoldcf.crawler.connectors.sharedrive 1->2: 1  2->1: 13
HttpPoster.java: org.apache.manifoldcf.agents.output.solr Logging.java: org.apache.manifoldcf.agents.system 1->2: 0  2->1: 38
KeystoreManager.java: org.apache.manifoldcf.core.keystore Logging.java: org.apache.manifoldcf.core.system 1->2: 0  2->1: 17
MeridioAuthority.java: org.apache.manifoldcf.crawler.connectors.meridio Messages.java: org.apache.manifoldcf.agents.output.opensearchserver 1->2: 1  2->1: 281
Messages.java: org.apache.manifoldcf.crawler.authorities.DCTM CommonsHTTPSender.java: org.apache.manifoldcf.crawler.connectors.meridio 1->2: 14  2->1: 0
RSSConnector.java: org.apache.manifoldcf.crawler.connectors.rss WebURL.java: org.apache.manifoldcf.crawler.connectors.webcrawler 1->2: 0  2->1: 156
Messages.java: org.apache.manifoldcf.crawler.connectors.sharedrive SharePointRepository.java: org.apache.manifoldcf.crawler.connectors.sharepoint 1->2: 840  2->1: 2
Messages.java: org.apache.manifoldcf.agents.output.nullconnector Messages.java: org.apache.manifoldcf.crawler.connectors.sharepoint 1->2: 126  2->1: 126
CookieManager.java: org.apache.manifoldcf.crawler.connectors.webcrawler ColumnDescription.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 36
OpenSearchServerConnector.java: org.apache.manifoldcf.agents.output.opensearchserver Messages.java: org.apache.manifoldcf.core.i18n 1->2: 0  2->1: 12
ElasticSearchConnector.java: org.apache.manifoldcf.agents.output.elasticsearch Messages.java: org.apache.manifoldcf.crawler.connectors.meridio 1->2: 8  2->1: 22
SharePointRepository.java: org.apache.manifoldcf.crawler.connectors.sharepoint KeystoreManagerFactory.java: org.apache.manifoldcf.core.interfaces 1->2: 2  2->1: 30
Messages.java: org.apache.manifoldcf.agents.output.gts Messages.java: org.apache.manifoldcf.crawler.connectors.sharedrive 1->2: 126  2->1: 126
AlfrescoRepositoryConnector.java: org.apache.manifoldcf.crawler.connectors.alfresco IThreadContext.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 96
CommonsHTTPSender.java: org.apache.manifoldcf.crawler.connectors.meridio Messages.java: org.apache.manifoldcf.authorities.authorities.nullauthority 1->2: 0  2->1: 14
MatchMap.java: org.apache.manifoldcf.crawler.connectors.DCTM SharedDriveConnector.java: org.apache.manifoldcf.crawler.connectors.sharedrive 1->2: 253  2->1: 0
DCTM.java: org.apache.manifoldcf.crawler.connectors.DCTM Messages.java: org.apache.manifoldcf.crawler.connectors.rss 1->2: 2  2->1: 347
FilenetConnector.java: org.apache.manifoldcf.crawler.connectors.filenet IKeystoreManager.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 23
Messages.java: org.apache.manifoldcf.crawler.connectors.alfresco Messages.java: org.apache.manifoldcf.agents.output.elasticsearch 1->2: 126  2->1: 126
IIncrementalIngester.java: org.apache.manifoldcf.agents.interfaces ManifoldCFException.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 147
Messages.java: org.apache.manifoldcf.crawler.connectors.jdbc RSSConnector.java: org.apache.manifoldcf.crawler.connectors.rss 1->2: 510  2->1: 2
Install.java: org.apache.manifoldcf.agents OutputConnectorFactory.java: org.apache.manifoldcf.agents.interfaces 1->2: 6  2->1: 5
Messages.java: org.apache.manifoldcf.crawler.connectors.sharepoint ManifoldCFException.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 21
RSSConnector.java: org.apache.manifoldcf.crawler.connectors.rss IThreadContext.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 613
ActiveDirectoryAuthority.java: org.apache.manifoldcf.authorities.authorities.activedirectory IThreadContext.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 142
ThrottledFetcher.java: org.apache.manifoldcf.crawler.connectors.webcrawler Logging.java: org.apache.manifoldcf.agents.system 1->2: 0  2->1: 50
Uninstall.java: org.apache.manifoldcf.agents IAgent.java: org.apache.manifoldcf.agents.interfaces 1->2: 2  2->1: 13
SharedDriveConnector.java: org.apache.manifoldcf.crawler.connectors.sharedrive Messages.java: org.apache.manifoldcf.agents.output.nullconnector 1->2: 2  2->1: 540
Messages.java: org.apache.manifoldcf.authorities.authorities.nullauthority Messages.java: org.apache.manifoldcf.crawler.connectors.wiki 1->2: 126  2->1: 126
Messages.java: org.apache.manifoldcf.authorities.authorities.activedirectory Messages.java: org.apache.manifoldcf.authorities.authorities.nullauthority 1->2: 126  2->1: 126
OpenSearchServerConnector.java: org.apache.manifoldcf.agents.output.opensearchserver Messages.java: org.apache.manifoldcf.crawler.connectors.webcrawler 1->2: 6  2->1: 22
OutputConnectorFactory.java: org.apache.manifoldcf.agents.interfaces IConnector.java: org.apache.manifoldcf.core.interfaces 1->2: 8  2->1: 121
CookieManager.java: org.apache.manifoldcf.crawler.connectors.webcrawler StringSetBuffer.java: org.apache.manifoldcf.core.interfaces 1->2: 0  2->1: 89
MeridioAuthority.java: org.apache.manifoldcf.crawler.connectors.meridio Messages.java: org.apache.manifoldcf.authorities.authorities.nullauthority 1->2: 0  2->1: 281
