XMLUtil.java: net.n3.nanoxml IXMLReader.java: net.n3.nanoxml 1->2: 20  2->1: 131
Drawing.java: org.jhotdraw.draw SVGView.java: org.jhotdraw.samples.svg 1->2: 37  2->1: 4
InputFormat.java: org.jhotdraw.draw AbstractDrawing.java: org.jhotdraw.draw 1->2: 15  2->1: 10
Connector.java: org.jhotdraw.draw SVGTextFigure.java: org.jhotdraw.samples.svg.figures 1->2: 33  2->1: 5
ODGPathFigure.java: org.jhotdraw.samples.odg.figures ResourceBundleUtil.java: org.jhotdraw.util 1->2: 21  2->1: 14
Gradient.java: org.jhotdraw.samples.odg LinearGradient.java: org.jhotdraw.samples.svg 1->2: 41  2->1: 5
Figure.java: org.jhotdraw.draw OutputFormat.java: org.jhotdraw.draw 1->2: 16  2->1: 0
ODGView.java: org.jhotdraw.samples.odg SVGOutputFormat.java: org.jhotdraw.samples.svg.io 1->2: 167  2->1: 19
JPopupButton.java: org.jhotdraw.gui FigureToolBar.java: org.jhotdraw.samples.svg.gui 1->2: 53  2->1: 4
SVGGroupFigure.java: org.jhotdraw.samples.svg.figures ImageMapOutputFormat.java: org.jhotdraw.samples.svg.io 1->2: 202  2->1: 10
RoundRectangleRadiusHandle.java: org.jhotdraw.draw Figure.java: org.jhotdraw.draw 1->2: 25  2->1: 63
AttributeKey.java: org.jhotdraw.draw DefaultDrawingEditor.java: org.jhotdraw.draw 1->2: 291  2->1: 0
AbstractApplication.java: org.jhotdraw.app ApplicationModel.java: org.jhotdraw.app 1->2: 9  2->1: 17
RedoAction.java: org.jhotdraw.app.action UndoRedoManager.java: org.jhotdraw.undo 1->2: 13  2->1: 10
Connector.java: org.jhotdraw.draw NodeFigure.java: org.jhotdraw.samples.net.figures 1->2: 15  2->1: 2
Handle.java: org.jhotdraw.draw SVGPathFigure.java: org.jhotdraw.samples.svg.figures 1->2: 48  2->1: 20
Drawing.java: org.jhotdraw.draw PertApplet.java: org.jhotdraw.samples.pert 1->2: 39  2->1: 0
ImageFigure.java: org.jhotdraw.draw DrawView.java: org.jhotdraw.samples.draw 1->2: 11  2->1: 13
ImageFigure.java: org.jhotdraw.draw ImageHolderFigure.java: org.jhotdraw.draw 1->2: 10  2->1: 19
Figure.java: org.jhotdraw.draw SelectionOpacityIcon.java: org.jhotdraw.samples.svg.gui 1->2: 24  2->1: 0
PaletteSliderUI.java: org.jhotdraw.gui.plaf.palette FontToolBar.java: org.jhotdraw.samples.svg.gui 1->2: 22  2->1: 0
JPopupButton.java: org.jhotdraw.gui JPopupButtonBeanInfo.java: org.jhotdraw.gui 1->2: 27  2->1: 0
OrientationHandle.java: org.jhotdraw.draw Geom.java: org.jhotdraw.geom 1->2: 0  2->1: 49
OutputFormat.java: org.jhotdraw.draw SVGView.java: org.jhotdraw.samples.svg 1->2: 18  2->1: 3
AbstractAttributedFigure.java: org.jhotdraw.draw Figure.java: org.jhotdraw.draw 1->2: 68  2->1: 98
DrawingPanel.java: org.jhotdraw.samples.draw DrawLiveConnectApplet.java: org.jhotdraw.samples.draw 1->2: 22  2->1: 15
CompositeFigure.java: org.jhotdraw.draw Insets2D.java: org.jhotdraw.geom 1->2: 8  2->1: 32
DOMStorableInputOutputFormat.java: org.jhotdraw.draw DOMStorable.java: org.jhotdraw.xml 1->2: 14  2->1: 18
AbstractViewAction.java: org.jhotdraw.app.action ToggleLineWrapAction.java: org.jhotdraw.samples.teddy.action 1->2: 12  2->1: 15
RelativeLocator.java: org.jhotdraw.draw NodeFigure.java: org.jhotdraw.samples.net.figures 1->2: 69  2->1: 5
SVGRectRadiusHandle.java: org.jhotdraw.samples.svg.figures SVGRectFigure.java: org.jhotdraw.samples.svg.figures 1->2: 9  2->1: 75
PrintAction.java: org.jhotdraw.app.action ResourceBundleUtil.java: org.jhotdraw.util 1->2: 0  2->1: 25
Gradient.java: org.jhotdraw.samples.odg ODGPathFigure.java: org.jhotdraw.samples.odg.figures 1->2: 17  2->1: 2
