FeaturesServiceImpl.java: org.apache.karaf.features.internal Import.java: org.apache.karaf.shell.dev.util 1->2: 0  2->1: 57
ListServices.java: org.apache.karaf.shell.osgi Util.java: org.apache.karaf.shell.osgi 1->2: 0  2->1: 12
Exception.java: java.lang Console.java: org.apache.karaf.shell.console.jline 1->2: 84  2->1: 0
Exception.java: java.lang SimpleFileLock.java: org.apache.karaf.main 1->2: 39  2->1: 1
InstallFeatureCommand.java: org.apache.karaf.features.command FeaturesService.java: org.apache.karaf.features 1->2: 0  2->1: 9
BlueprintTransformer.java: org.apache.karaf.deployer.blueprint Properties.java: org.apache.karaf.shell.config 1->2: 6  2->1: 34
InstanceCompleter.java: org.apache.karaf.admin.command.completers StringsCompleter.java: org.apache.karaf.shell.console.completer 1->2: 1  2->1: 11
AdminServiceImpl.java: org.apache.karaf.admin.internal Properties.java: org.apache.karaf.shell.config 1->2: 1  2->1: 89
OsgiCommandSupport.java: org.apache.karaf.shell.console Headers.java: org.apache.karaf.shell.osgi 1->2: 10  2->1: 2
KeystoreIsLocked.java: org.apache.karaf.jaas.config KeystoreInstance.java: org.apache.karaf.jaas.config 1->2: 10  2->1: 0
RepositoryImpl.java: org.apache.karaf.features.internal RepositoryTest.java: org.apache.karaf.features 1->2: 13  2->1: 0
Argument.java: org.apache.felix.gogo.commands SetLogLevel.java: org.apache.karaf.shell.log 1->2: 17  2->1: 0
ReifiedType.java: org.apache.felix.gogo.commands.converter DefaultConverter.java: org.apache.felix.gogo.commands.converter 1->2: 42  2->1: 0
StartCommand.java: org.apache.karaf.admin.command Option.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 14
ConfigurationPropertyCompleter.java: org.apache.karaf.shell.config.completers StringsCompleter.java: org.apache.karaf.shell.console.completer 1->2: 1  2->1: 11
GrepAction.java: org.apache.karaf.shell.commands Option.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 66
Exception.java: java.lang JaasSecurityProvider.java: org.apache.karaf.webconsole 1->2: 29  2->1: 0
Instance.java: org.apache.karaf.admin JmxInstanceTest.java: org.apache.karaf.admin.management.codec 1->2: 16  2->1: 0
Argument.java: org.apache.felix.gogo.commands BundlesCommandOptional.java: org.apache.karaf.shell.osgi 1->2: 10  2->1: 0
Repository.java: org.apache.karaf.features RepositoryImpl.java: org.apache.karaf.features.internal 1->2: 5  2->1: 4
Module.java: org.apache.karaf.jaas.config.impl Properties.java: org.apache.karaf.shell.config 1->2: 0  2->1: 10
FeaturesServiceMBeanImpl.java: org.apache.karaf.features.management.internal StandardEmitterMBean.java: org.apache.karaf.features.management.internal 1->2: 4  2->1: 5
Exception.java: java.lang SimpleCommand.java: org.apache.felix.gogo.commands.basic 1->2: 9  2->1: 0
ConnectCommand.java: org.apache.karaf.admin.command Option.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 24
SpringTransformer.java: org.apache.karaf.deployer.spring Properties.java: org.apache.karaf.shell.config 1->2: 6  2->1: 35
EventAdminListener.java: org.apache.karaf.features.internal FeaturesServiceImpl.java: org.apache.karaf.features.internal 1->2: 12  2->1: 4
CoreTest.java: org.apache.karaf.shell.itests AbstractIntegrationTest.java: org.apache.karaf.testing 1->2: 0  2->1: 15
ObrCommandSupport.java: org.apache.karaf.shell.obr FindCommand.java: org.apache.karaf.shell.obr 1->2: 7  2->1: 3
Exception.java: java.lang MBeanRegistrer.java: org.apache.karaf.management 1->2: 21  2->1: 0
Exception.java: java.lang DefaultActionPreparator.java: org.apache.felix.gogo.commands.basic 1->2: 38  2->1: 0
ChangePortCommand.java: org.apache.karaf.admin.command Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 16
DefaultJDBCLockTest.java: org.apache.karaf.main BaseJDBCLockTest.java: org.apache.karaf.main 1->2: 5  2->1: 4
Exception.java: java.lang AbstractBundleCommand.java: org.apache.karaf.shell.dev 1->2: 10  2->1: 0
SortAction.java: org.apache.karaf.shell.commands Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 41
PumpStreamHandler.java: org.apache.karaf.shell.wrapper StreamPumper.java: org.apache.karaf.shell.wrapper 1->2: 5  2->1: 18
PropSetCommand.java: org.apache.karaf.shell.config Argument.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 15
Exception.java: java.lang Utils.java: org.apache.karaf.main 1->2: 37  2->1: 0
Exception.java: java.lang Repository.java: org.apache.karaf.features 1->2: 10  2->1: 0
