parseJoinCondition; SemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; RowContainer.java;37; 
mergeJoins; SemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; QBJoinTree.java;34; 
buildJSONString; SerDeUtils.java; serde.src.java.org.apache.hadoop.hive.serde2; JobCloseFeedBack.java;33; 
execute; DDLTask.java; ql.src.java.org.apache.hadoop.hive.ql.exec; DDLWork.java;32; 
genJoinTree; SemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; QBJoinTree.java;27; 
analyzeInternal; DDLSemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; Context.java;26; 
genMapRedTasks; SemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; MetricsMBean.java;26; 
genGroupByPlanReduceSinkOperator; SemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; RowContainer.java;25; 
getColumns; HiveDatabaseMetaData.java; jdbc.src.java.org.apache.hadoop.hive.jdbc; RowContainer.java;24; 
doPhase1; SemanticAnalyzer.java; ql.src.java.org.apache.hadoop.hive.ql.parse; QBParseInfo.java;24; 
