genFileSinkPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;367
alterTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;306
processSkewJoin; GenMRSkewJoinProcessor.java; org.apache.hadoop.hive.ql.optimizer.physical;284
execute; ExecDriver.java; org.apache.hadoop.hive.ql.exec;276
partitionTester; TestHiveMetaStore.java; org.apache.hadoop.hive.metastore;248
genMapRedTasks; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;245
deserialize; BinarySortableSerDe.java; org.apache.hadoop.hive.serde2.binarysortable;237
serialize; LazyBinarySerDe.java; org.apache.hadoop.hive.serde2.lazybinary;234
genSelectPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;220
convertMapJoin; MapJoinProcessor.java; org.apache.hadoop.hive.ql.optimizer;219
analyzeCreateTable; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;215
execute; MapRedTask.java; org.apache.hadoop.hive.ql.exec;213
grantPrivileges; ObjectStore.java; org.apache.hadoop.hive.metastore;210
initializeOp; GroupByOperator.java; org.apache.hadoop.hive.ql.exec;206
genTablePlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;205
parseJoinCondition; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;201
execute; DDLTask.java; org.apache.hadoop.hive.ql.exec;193
revokePrivileges; ObjectStore.java; org.apache.hadoop.hive.metastore;190
execute; Driver.java; org.apache.hadoop.hive.ql;189
doPhase1; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;185
archive; DDLTask.java; org.apache.hadoop.hive.ql.exec;179
execute; MoveTask.java; org.apache.hadoop.hive.ql.exec;178
createIndex; Hive.java; org.apache.hadoop.hive.ql.metadata;177
unarchive; DDLTask.java; org.apache.hadoop.hive.ql.exec;172
analyzeInternal; DDLSemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;170
serialize; BinarySortableSerDe.java; org.apache.hadoop.hive.serde2.binarysortable;169
aggregateStats; StatsTask.java; org.apache.hadoop.hive.ql.exec;167
setTaskPlan; GenMapRedUtils.java; org.apache.hadoop.hive.ql.optimizer;164
Namespace; thrift_grammar.java; org.apache.hadoop.hive.serde2.dynamic_type;163
jjStopStringLiteralDfa_0; thrift_grammarTokenManager.java; org.apache.hadoop.hive.serde2.dynamic_type;160
showGrants; DDLTask.java; org.apache.hadoop.hive.ql.exec;159
FieldType; thrift_grammar.java; org.apache.hadoop.hive.serde2.dynamic_type;158
alterTable; HiveAlterHandler.java; org.apache.hadoop.hive.metastore;155
genScriptPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;155
createTable; DDLTask.java; org.apache.hadoop.hive.ql.exec;154
getMetaData; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;154
genBodyPlan; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;149
genGroupByPlanGroupByOperator1; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;149
testSimpleTable; TestHiveMetaStore.java; org.apache.hadoop.hive.metastore;146
execute; QTestGenTask.java; org.apache.hadoop.hive.ant;145
process; GenMRUnion1.java; org.apache.hadoop.hive.ql.optimizer;144
processCmd; CliDriver.java; org.apache.hadoop.hive.cli;142
genJoinTree; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;142
genGroupByPlanReduceSinkOperator; SemanticAnalyzer.java; org.apache.hadoop.hive.ql.parse;142
getTasks; ConditionalResolverMergeFiles.java; org.apache.hadoop.hive.ql.plan;140
getSplits; CombineHiveInputFormat.java; org.apache.hadoop.hive.ql.io;140
buildJSONString; SerDeUtils.java; org.apache.hadoop.hive.serde2;137
DefinitionType; thrift_grammar.java; org.apache.hadoop.hive.serde2.dynamic_type;136
grantOrRevokePrivileges; DDLTask.java; org.apache.hadoop.hive.ql.exec;135
