MeridioConnector.java; org.apache.manifoldcf.crawler.connectors.meridio; Messages.java; org.apache.manifoldcf.authorities.authorities.nullauthority; 1->2;0;  2->1;586
Messages.java; org.apache.manifoldcf.crawler.connectors.alfresco; Messages.java; org.apache.manifoldcf.crawler.connectors.DCTM; 1->2;126;  2->1;126
ActiveDirectoryAuthority.java; org.apache.manifoldcf.authorities.authorities.activedirectory; Messages.java; org.apache.manifoldcf.authorities.authorities.nullauthority; 1->2;0;  2->1;145
WikiConnector.java; org.apache.manifoldcf.crawler.connectors.wiki; SingleLevelContext.java; org.apache.manifoldcf.crawler.connectors.wiki; 1->2;0;  2->1;123
WebcrawlerConnector.java; org.apache.manifoldcf.crawler.connectors.webcrawler; SpecificationNode.java; org.apache.manifoldcf.core.interfaces; 1->2;0;  2->1;275
SharePointRepository.java; org.apache.manifoldcf.crawler.connectors.sharepoint; ConfigurationNode.java; org.apache.manifoldcf.core.interfaces; 1->2;0;  2->1;555
SharedDriveConnector.java; org.apache.manifoldcf.crawler.connectors.sharedrive; SpecificationNode.java; org.apache.manifoldcf.core.interfaces; 1->2;0;  2->1;330
OutputConnectionManager.java; org.apache.manifoldcf.agents.outputconnection; StringSet.java; org.apache.manifoldcf.core.interfaces; 1->2;0;  2->1;201
LivelinkConnector.java; org.apache.manifoldcf.crawler.connectors.livelink; ConfigParams.java; org.apache.manifoldcf.core.interfaces; 1->2;4;  2->1;245
SharedDriveConnector.java; org.apache.manifoldcf.crawler.connectors.sharedrive; SpecificationNode.java; org.apache.manifoldcf.core.interfaces; 1->2;0;  2->1;330
SPSProxyHelper.java; org.apache.manifoldcf.crawler.connectors.sharepoint; XML.java; org.json; 1->2;0;  2->1;60
LivelinkConnector.java; org.apache.manifoldcf.crawler.connectors.livelink; MatchMap.java; org.apache.manifoldcf.crawler.connectors.memex; 1->2;0;  2->1;249
DCTM.java; org.apache.manifoldcf.crawler.connectors.DCTM; ConfigParams.java; org.apache.manifoldcf.core.interfaces; 1->2;1;  2->1;160
MatchMap.java; org.apache.manifoldcf.crawler.connectors.sharedrive; LivelinkConnector.java; org.apache.manifoldcf.crawler.connectors.livelink; 1->2;249;  2->1;0
MatchMap.java; org.apache.manifoldcf.crawler.connectors.livelink; MeridioConnector.java; org.apache.manifoldcf.crawler.connectors.meridio; 1->2;125;  2->1;0
