Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Package,"(Unnamed_Package)",2,2,2,1,19,1,16,1,,,,,9,17,16,,4,,8,3,25,,0,13,2,10,,746,97,531,183,292,120,,,,300,367,187,180,,,,,,7,7,9,1,,,3,,,,0.23,55,55,59,25
File,"AbstractBounds.java",2,2,2,1,8,0,7,0,,,,,3,1,2,9,,12,13,5,14,,0,0,0,14,,171,22,100,38,38,49,,,,47,66,36,30,,,,,,5,5,5,3,,,2,,,,0.49,18,18,18,11
File,"AbstractByteOrderedPartitioner.java",1,1,1,1,10,0,9,1,,,,,2,0,2,15,,16,16,1,16,,0,2,0,14,,219,29,157,43,74,34,,,,70,105,54,51,,,,,,7,7,7,1,,,3,,,,0.22,29,29,29,15
File,"AbstractCassandraDaemon.java",3,3,3,1,24,1,17,5,,,,,4,1,2,15,,17,16,4,17,,0,0,4,13,,451,50,286,60,135,116,,,,118,184,73,111,,,,,,21,21,24,1,,,3,,,,0.41,51,51,54,15
File,"AbstractColumnContainer.java",1,1,1,1,4,0,4,0,,,,,1,0,1,29,,29,29,1,29,,0,0,1,28,,212,38,147,48,40,28,,,,49,86,49,37,,,,,,4,4,5,4,,,2,,,,0.19,34,34,35,32
File,"AbstractColumnIterator.java",1,1,1,1,3,0,3,0,,,,,1,0,0,2,,2,2,0,2,,0,0,0,2,,37,5,12,6,1,20,,,,4,7,6,1,,,,,,1,1,1,1,,,0,,,,1.67,2,2,2,2
File,"AbstractCommitLogExecutorService.java",1,1,1,1,4,0,4,0,,,,,1,0,0,5,,5,5,1,5,,0,0,0,5,,59,8,28,11,6,23,,,,10,16,11,5,,,,,,1,1,1,1,,,0,,,,0.82,5,5,5,5
File,"AbstractCommutativeType.java",1,1,1,1,4,0,4,0,,,,,1,0,0,3,,4,4,0,4,,0,0,0,4,,49,5,21,10,3,23,,,,9,13,10,3,,,,,,1,1,1,1,,,0,,,,1.10,3,3,3,3
File,"AbstractCompactedRow.java",1,1,1,1,4,0,4,0,,,,,1,0,0,1,,6,6,1,6,,0,0,0,6,,78,10,19,14,1,49,,,,13,15,14,1,,,,,,1,1,1,1,,,0,,,,2.58,1,1,1,1
File,"AbstractCompactionIterable.java",1,1,1,1,9,0,9,0,,,,,1,0,1,2,,3,3,5,3,,0,0,0,3,,63,10,33,16,13,20,,,,20,25,17,8,,,,,,2,2,2,1,,,1,,,,0.61,3,3,3,2
