member_declaration; CPPParser.java; org.argouml.language.cpp.reveng;676
external_declaration; CPPParser.java; org.argouml.language.cpp.reveng;591
createChecklists; Init.java; org.argouml.uml.cognitive.checklist;532
direct_declarator; CPPParser.java; org.argouml.language.cpp.reveng;498
mNUM_INT; JavaLexer.java; org.argouml.uml.reveng.java;380
mNumber; CPPLexer.java; org.argouml.language.cpp.reveng;377
postfix_expression; CPPParser.java; org.argouml.language.cpp.reveng;359
postfixExpression; JavaRecognizer.java; org.argouml.uml.reveng.java;312
nextToken; JavaLexer.java; org.argouml.uml.reveng.java;301
nextToken; CPPLexer.java; org.argouml.language.cpp.reveng;300
nextToken; JavaLexer.java; org.argouml.language.java.generator;280
parseAttribute; ParserDisplay.java; org.argouml.uml.generator;277
main; Main.java; org.argouml.application;270
statement; JavaRecognizer.java; org.argouml.uml.reveng.java;264
createPropPanel; TabProps.java; org.argouml.uml.ui;257
statement; JavaRecognizer.java; org.argouml.language.java.generator;257
declarator_suffixes; CPPParser.java; org.argouml.language.cpp.reveng;256
mNUM_INT; JavaLexer.java; org.argouml.language.java.generator;253
function_direct_declarator; CPPParser.java; org.argouml.language.cpp.reveng;252
nextToken; IDLLexer.java; org.argouml.uml.reveng.idl;252
newExpression; JavaRecognizer.java; org.argouml.uml.reveng.java;237
parseOperation; ParserDisplay.java; org.argouml.uml.generator;226
mINT; IDLLexer.java; org.argouml.uml.reveng.idl;226
definition; IDLParser.java; org.argouml.uml.reveng.idl;219
declaration_specifiers; CPPParser.java; org.argouml.language.cpp.reveng;211
newExpression; JavaRecognizer.java; org.argouml.language.java.generator;201
iteration_statement; CPPParser.java; org.argouml.language.cpp.reveng;193
optor_simple_tokclass; CPPParser.java; org.argouml.language.cpp.reveng;192
postfixExpression; JavaRecognizer.java; org.argouml.language.java.generator;190
simple_type_specifier; CPPParser.java; org.argouml.language.cpp.reveng;187
conversion_function_decl_or_def; CPPParser.java; org.argouml.language.cpp.reveng;182
abstract_declarator_suffix; CPPParser.java; org.argouml.language.cpp.reveng;182
parseParamList; ParserDisplay.java; org.argouml.uml.generator;180
mESC; IDLLexer.java; org.argouml.uml.reveng.idl;179
cast_expression; CPPParser.java; org.argouml.language.cpp.reveng;171
updateNodeStates; FigClassifierRole.java; org.argouml.uml.diagram.sequence.ui;167
addDocumentationTag; Modeller.java; org.argouml.uml.reveng.java;166
ExplorerPopup; ExplorerPopup.java; org.argouml.ui.explorer;165
classField; JavaRecognizer.java; org.argouml.uml.reveng.java;162
classOrInterfaceType; JavaRecognizer.java; org.argouml.uml.reveng.java;162
qualifiedItemIs; CPPParser.java; org.argouml.language.cpp.reveng;162
enumConstantField; JavaRecognizer.java; org.argouml.uml.reveng.java;161
class_specifier; CPPParser.java; org.argouml.language.cpp.reveng;160
getFigEdgeFor; UseCaseDiagramRenderer.java; org.argouml.uml.diagram.use_case.ui;160
