getRandomID: JDBCBench.java: org.hsqldb.test Diff:143
readTime: RowInputText.java: org.hsqldb.rowio Diff:12
getRowSize: RowOutputBinary.java: org.hsqldb.rowio Diff:15
getSpecificName: DIProcedureInfo.java: org.hsqldb Diff:4
terminate: TriggerDef.java: org.hsqldb Diff:36
beginDataTransfer: TransferHelper.java: org.hsqldb.util Diff:11
prevRow: ZaurusTableForm.java: org.hsqldb.util Diff:6
createConnection: ConnectionDialogSwing.java: org.hsqldb.util Diff:1
reset: RowOutputTextLog.java: org.hsqldb.rowio Diff:53
getPrimaryIndex: Table.java: org.hsqldb Diff:30
doAuditStep: TriggerSample.java: org.hsqldb.sample Diff:13
writeType: RowOutputTextLog.java: org.hsqldb.rowio Diff:20
setPassword: Session.java: org.hsqldb Diff:1
drop: Table.java: org.hsqldb Diff:119
newIndexHsqlName: DatabaseCommandInterpreter.java: org.hsqldb Diff:463
divider: SqlFile.java: org.hsqldb.util Diff:120
setLocale: DITypeInfo.java: org.hsqldb Diff:45
acceptsPrecisionCreateParam: Types.java: org.hsqldb Diff:11
writeFieldType: RowOutputBinary.java: org.hsqldb.rowio Diff:16
checkGetParameterIndex: jdbcCallableStatement.java: org.hsqldb.jdbc Diff:6
execute: Session.java: org.hsqldb Diff:34
SYSTEM_SEQUENCES: DatabaseInformationMain.java: org.hsqldb Diff:71
getName: Tokenizer.java: org.hsqldb Diff:7
getColScopeTable: DITableInfo.java: org.hsqldb Diff:53
compile: View.java: org.hsqldb Diff:14
deleteNoRefCheck: Table.java: org.hsqldb Diff:111
skippedLine: RowInputText.java: org.hsqldb.rowio Diff:21
remove: HashMap.java: org.hsqldb.lib Diff:2
setChanged: CachedRow.java: org.hsqldb Diff:2
getTypeString: Types.java: org.hsqldb Diff:3
sqlExecuteDirectNoPreChecks: Session.java: org.hsqldb Diff:34
setName: Index.java: org.hsqldb Diff:1
getIndexForColumns: Table.java: org.hsqldb Diff:36
clear: DatabaseManagerSwing.java: org.hsqldb.util Diff:58
handshakeCompleted: HsqlSocketFactorySecure.java: org.hsqldb Diff:15
setSCN: Database.java: org.hsqldb Diff:93
getRow: TextTable.java: org.hsqldb Diff:14
supportsCatalogsInIndexDefinitions: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
checkRowDataInsert: Table.java: org.hsqldb Diff:125
SYSTEM_SESSIONINFO: DatabaseInformationFull.java: org.hsqldb Diff:115
getCatalogSeparator: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
getNumericFunctions: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:8
appendPair: StringUtil.java: org.hsqldb.lib Diff:31
setParameterData: Result.java: org.hsqldb Diff:24
iterator: BaseList.java: org.hsqldb.lib Diff:9
supportsOpenCursorsAcrossCommit: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
main: Transfer.java: org.hsqldb.util Diff:1
setDistinctAggregate: Expression.java: org.hsqldb Diff:142
getSchemaName: Table.java: org.hsqldb Diff:128
getSearchStringEscape: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
setRef: jdbcPreparedStatement.java: org.hsqldb.jdbc Diff:10
generateWhere: ZaurusTableForm.java: org.hsqldb.util Diff:77
releaseServerSocket: Server.java: org.hsqldb Diff:27
getColumnScale: Expression.java: org.hsqldb Diff:142
setCatalog: jdbcConnection.java: org.hsqldb.jdbc Diff:2
processAlterTableDropConstraint: DatabaseCommandInterpreter.java: org.hsqldb Diff:522
writeRow: ScriptWriterText.java: org.hsqldb.scriptio Diff:14
processBuffer: SqlFile.java: org.hsqldb.util Diff:32
getAttribute: HSQLClientConnection.java: org.hsqldb Diff:3
dropUser: UserManager.java: org.hsqldb Diff:15
processDisconnect: DatabaseCommandInterpreter.java: org.hsqldb Diff:557
readBit: RowInputBase.java: org.hsqldb.rowio Diff:2
connect: ZaurusDatabaseManager.java: org.hsqldb.util Diff:3
nullsAreSortedLow: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:3
resolveType: Function.java: org.hsqldb Diff:13
serialize: InOutUtil.java: org.hsqldb.lib Diff:4
findUserTable: Database.java: org.hsqldb Diff:18
resetDefaultValues: Table.java: org.hsqldb Diff:35
getMaxBinaryLiteralLength: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
appendTable: CompiledStatement.java: org.hsqldb Diff:47
linkSession: CompiledStatementManager.java: org.hsqldb Diff:19
readString: RowInputBase.java: org.hsqldb.rowio Diff:2
supportsTransactions: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
doAssert: Trace.java: org.hsqldb Diff:19
isEquivalent: Constraint.java: org.hsqldb Diff:10
keyTyped: DatabaseManager.java: org.hsqldb.util Diff:11
purge: TextCache.java: org.hsqldb Diff:50
sqlExecuteBatch: Session.java: org.hsqldb Diff:44
setIndexRoots: Table.java: org.hsqldb Diff:41
checkTableExists: DatabaseCommandInterpreter.java: org.hsqldb Diff:470
reset: Tokenizer.java: org.hsqldb Diff:1
resetToTime: HsqlDateTime.java: org.hsqldb Diff:13
remove: HashSet.java: org.hsqldb.lib Diff:5
SYSTEM_CHECK_CONSTRAINTS: DatabaseInformationMain.java: org.hsqldb Diff:63
getMaxColumnsInIndex: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
readOr: Parser.java: org.hsqldb Diff:162
readAnd: Parser.java: org.hsqldb Diff:159
getCharacterStream: jdbcClob.java: org.hsqldb.jdbc Diff:1
setMethod: DIProcedureInfo.java: org.hsqldb Diff:86
removeExportedKeys: Database.java: org.hsqldb Diff:88
writeInsertStatement: Logger.java: org.hsqldb Diff:6
supportsGroupByUnrelated: jdbcDatabaseMetaData.java: org.hsqldb.jdbc Diff:11
getParent: DiskNode.java: org.hsqldb Diff:4
updateAggregatingValue: Function.java: org.hsqldb Diff:13
createSQLString: Column.java: org.hsqldb Diff:95
isIndexingMutable: Table.java: org.hsqldb Diff:49
setDefaultColor: CommonSwing.java: org.hsqldb.util Diff:33
count: StringConverter.java: org.hsqldb.lib Diff:31
addColumn: Table.java: org.hsqldb Diff:18
newDatabaseInformation: DatabaseInformation.java: org.hsqldb Diff:2
processAlterTable: DatabaseCommandInterpreter.java: org.hsqldb Diff:298
wasName: Tokenizer.java: org.hsqldb Diff:7
isFilesReadOnly: Database.java: org.hsqldb Diff:13
readDate: RowInputText.java: org.hsqldb.rowio Diff:13
getPrecisionAct: DITypeInfo.java: org.hsqldb Diff:10
doGet: Servlet.java: org.hsqldb Diff:18
getTime: jdbcCallableStatement.java: org.hsqldb.jdbc Diff:5
