XYPointerAnnotation.java: org.jfree.chart.annotations	XYTextAnnotation.java: org.jfree.chart.annotations	
CategoryPointerAnnotation.java: org.jfree.chart.annotations	CategoryTextAnnotation.java: org.jfree.chart.annotations	
CategoryTextAnnotation.java: org.jfree.chart.annotations	TextAnnotation.java: org.jfree.chart.annotations	
CategoryAxis3D.java: org.jfree.chart.axis	CategoryAxis.java: org.jfree.chart.axis	
ModuloAxis.java: org.jfree.chart.axis	NumberAxis.java: org.jfree.chart.axis	
CyclicNumberAxis.java: org.jfree.chart.axis	NumberAxis.java: org.jfree.chart.axis	
SubCategoryAxis.java: org.jfree.chart.axis	CategoryAxis.java: org.jfree.chart.axis	
SymbolAxis.java: org.jfree.chart.axis	NumberAxis.java: org.jfree.chart.axis	
ExtendedCategoryAxis.java: org.jfree.chart.axis	CategoryAxis.java: org.jfree.chart.axis	
NumberAxis3D.java: org.jfree.chart.axis	NumberAxis.java: org.jfree.chart.axis	
LogarithmicAxis.java: org.jfree.chart.axis	NumberAxis.java: org.jfree.chart.axis	
BlockContainer.java: org.jfree.chart.block	AbstractBlock.java: org.jfree.chart.block	
LabelBlock.java: org.jfree.chart.block	AbstractBlock.java: org.jfree.chart.block	
ColorBlock.java: org.jfree.chart.block	AbstractBlock.java: org.jfree.chart.block	
EmptyBlock.java: org.jfree.chart.block	AbstractBlock.java: org.jfree.chart.block	
DefaultNumberAxisEditor.java: org.jfree.chart.editor	DefaultAxisEditor.java: org.jfree.chart.editor	
DefaultColorBarEditor.java: org.jfree.chart.editor	DefaultNumberAxisEditor.java: org.jfree.chart.editor	
XYItemEntity.java: org.jfree.chart.entity	ChartEntity.java: org.jfree.chart.entity	
ContourEntity.java: org.jfree.chart.entity	ChartEntity.java: org.jfree.chart.entity	
XYAnnotationEntity.java: org.jfree.chart.entity	ChartEntity.java: org.jfree.chart.entity	
PieSectionEntity.java: org.jfree.chart.entity	ChartEntity.java: org.jfree.chart.entity	
LegendItemEntity.java: org.jfree.chart.entity	ChartEntity.java: org.jfree.chart.entity	
TickLabelEntity.java: org.jfree.chart.entity	ChartEntity.java: org.jfree.chart.entity	
CategoryLabelEntity.java: org.jfree.chart.entity	TickLabelEntity.java: org.jfree.chart.entity	
CategoryItemEntity.java: org.jfree.chart.entity	ChartEntity.java: org.jfree.chart.entity	
PlotChangeEvent.java: org.jfree.chart.event	ChartChangeEvent.java: org.jfree.chart.event	
MarkerChangeEvent.java: org.jfree.chart.event	ChartChangeEvent.java: org.jfree.chart.event	
RendererChangeEvent.java: org.jfree.chart.event	ChartChangeEvent.java: org.jfree.chart.event	
AxisChangeEvent.java: org.jfree.chart.event	ChartChangeEvent.java: org.jfree.chart.event	
TitleChangeEvent.java: org.jfree.chart.event	ChartChangeEvent.java: org.jfree.chart.event	
StandardXYZToolTipGenerator.java: org.jfree.chart.labels	StandardXYToolTipGenerator.java: org.jfree.chart.labels	
IntervalCategoryToolTipGenerator.java: org.jfree.chart.labels	StandardCategoryToolTipGenerator.java: org.jfree.chart.labels	
StandardXYToolTipGenerator.java: org.jfree.chart.labels	AbstractXYItemLabelGenerator.java: org.jfree.chart.labels	
BoxAndWhiskerToolTipGenerator.java: org.jfree.chart.labels	StandardCategoryToolTipGenerator.java: org.jfree.chart.labels	
BoxAndWhiskerXYToolTipGenerator.java: org.jfree.chart.labels	StandardXYToolTipGenerator.java: org.jfree.chart.labels	
StandardPieSectionLabelGenerator.java: org.jfree.chart.labels	AbstractPieItemLabelGenerator.java: org.jfree.chart.labels	
StandardXYItemLabelGenerator.java: org.jfree.chart.labels	AbstractXYItemLabelGenerator.java: org.jfree.chart.labels	
IntervalXYItemLabelGenerator.java: org.jfree.chart.labels	AbstractXYItemLabelGenerator.java: org.jfree.chart.labels	
StandardPieToolTipGenerator.java: org.jfree.chart.labels	AbstractPieItemLabelGenerator.java: org.jfree.chart.labels	
BubbleXYItemLabelGenerator.java: org.jfree.chart.labels	AbstractXYItemLabelGenerator.java: org.jfree.chart.labels	
IntervalCategoryItemLabelGenerator.java: org.jfree.chart.labels	StandardCategoryItemLabelGenerator.java: org.jfree.chart.labels	
WindNeedle.java: org.jfree.chart.needle	ArrowNeedle.java: org.jfree.chart.needle	
