InstanceImpl.java: org.apache.karaf.admin.internal Main.java: org.apache.karaf.shell.wrapper 1->2: 18  2->1: 45
DumpProvider.java: org.apache.karaf.diagnostic.core DiagnosticDumpMBeanImpl.java: org.apache.karaf.diagnostic.management.internal 1->2: 7  2->1: 2
Import.java: org.apache.karaf.shell.dev.util Headers.java: org.apache.karaf.shell.osgi 1->2: 9  2->1: 0
Helper.java: org.apache.karaf.kittests Helper.java: org.apache.karaf.testing 1->2: 12  2->1: 13
Repository.java: org.apache.karaf.features RepositoryImpl.java: org.apache.karaf.features.internal 1->2: 6  2->1: 5
InfoFeatureCommand.java: org.apache.karaf.features.command FeaturesService.java: org.apache.karaf.features 1->2: 0  2->1: 9
EncryptionSupport.java: org.apache.karaf.jaas.modules.encryption JDBCBackingEngine.java: org.apache.karaf.jaas.modules.jdbc 1->2: 14  2->1: 0
Command.java: org.apache.felix.gogo.commands DefaultActionPreparator.java: org.apache.felix.gogo.commands.basic 1->2: 78  2->1: 0
FeatureImpl.java: org.apache.karaf.features.internal ObrResolverTest.java: org.apache.karaf.features.obr.internal 1->2: 34  2->1: 0
UserDeleteCommand.java: org.apache.karaf.jaas.command RoleAddCommand.java: org.apache.karaf.jaas.command 1->2: 4  2->1: 5
JaasCommandSupport.java: org.apache.karaf.jaas.command ListPendingCommand.java: org.apache.karaf.jaas.command 1->2: 8  2->1: 4
Argument.java: org.apache.felix.gogo.commands FrameworkOptions.java: org.apache.karaf.shell.dev 1->2: 14  2->1: 0
SpringStateListenerFactory.java: org.apache.karaf.shell.osgi BundleStateListener.java: org.apache.karaf.shell.osgi 1->2: 1  2->1: 11
InfoAction.java: org.apache.karaf.shell.commands Properties.java: org.apache.karaf.util 1->2: 1  2->1: 24
Command.java: org.apache.felix.gogo.commands InstallCommand.java: org.apache.karaf.shell.wrapper 1->2: 69  2->1: 0
Argument.java: org.apache.felix.gogo.commands Watch.java: org.apache.karaf.shell.dev 1->2: 28  2->1: 0
EditCommand.java: org.apache.karaf.shell.config Option.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 19
InstanceSettings.java: org.apache.karaf.admin InstanceSettingsTest.java: org.apache.karaf.admin 1->2: 28  2->1: 0
InstanceImpl.java: org.apache.karaf.admin.internal Properties.java: org.apache.karaf.util 1->2: 29  2->1: 138
Console.java: org.apache.karaf.shell.console.jline Terminal.java: org.apache.karaf.webconsole.gogo 1->2: 0  2->1: 68
PropertiesConverterTest.java: org.apache.karaf.jaas.modules.properties Properties.java: org.apache.karaf.util 1->2: 0  2->1: 32
SpringStateListenerFactory.java: org.apache.karaf.shell.osgi BlueprintListener.java: org.apache.karaf.shell.osgi 1->2: 4  2->1: 19
Feature.java: org.apache.karaf.features JmxFeature.java: org.apache.karaf.features.management.codec 1->2: 16  2->1: 0
MainStartTest.java: org.apache.karaf.main Framework.java: org.apache.karaf.shell.dev.framework 1->2: 0  2->1: 9
ListFeaturesCommand.java: org.apache.karaf.features.command Command.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 16
Exception.java: java.lang AdminPluginTest.java: org.apache.karaf.webconsole.admin 1->2: 15  2->1: 0
FeatureCompleterSupport.java: org.apache.karaf.features.command.completers StringsCompleter.java: org.apache.karaf.shell.console.completer 1->2: 1  2->1: 19
Exception.java: java.lang ManageRealmCommand.java: org.apache.karaf.jaas.command 1->2: 10  2->1: 0
DefaultActionPreparator.java: org.apache.felix.gogo.commands.basic ArgumentCompleter.java: org.apache.karaf.shell.console.completer 1->2: 12  2->1: 0
Exception.java: java.lang InfoFeatureCommand.java: org.apache.karaf.features.command 1->2: 15  2->1: 0
Exception.java: java.lang ListRealmsCommand.java: org.apache.karaf.jaas.command 1->2: 10  2->1: 0
Command.java: org.apache.felix.gogo.commands Main.java: org.apache.karaf.shell.console 1->2: 12  2->1: 0
Felix.java: org.apache.karaf.shell.dev.framework Framework.java: org.apache.karaf.shell.dev.framework 1->2: 3  2->1: 9
ListUsersCommand.java: org.apache.karaf.jaas.command JaasCommandSupport.java: org.apache.karaf.jaas.command 1->2: 4  2->1: 7
DumpCommand.java: org.apache.karaf.diagnostic.command Command.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 12
Exception.java: java.lang ArgumentCompleterTest.java: org.apache.karaf.shell.console.completer 1->2: 35  2->1: 0
DefaultJDBCLock.java: org.apache.karaf.main BaseJDBCLockIntegrationTest.java: org.apache.karaf.main 1->2: 140  2->1: 77
Exception.java: java.lang MBeanRegistrer.java: org.apache.karaf.management 1->2: 26  2->1: 0
Option.java: org.apache.felix.gogo.commands ImportsCommand.java: org.apache.karaf.shell.packages 1->2: 15  2->1: 0
BlueprintDeploymentListenerTest.java: org.apache.karaf.deployer.blueprint Exception.java: java.lang 1->2: 0  2->1: 20
Exception.java: java.lang JaasCommandSupport.java: org.apache.karaf.jaas.command 1->2: 15  2->1: 0
ListFeaturesCommand.java: org.apache.karaf.features.command Repository.java: org.apache.karaf.features 1->2: 0  2->1: 12
IfAction.java: org.apache.karaf.shell.commands Command.java: org.apache.felix.gogo.commands 1->2: 0  2->1: 10
JasyptEncryption.java: org.apache.karaf.jaas.jasypt.impl Encryption.java: org.apache.karaf.jaas.modules 1->2: 2  2->1: 11
Exception.java: java.lang CatAction.java: org.apache.karaf.shell.commands 1->2: 17  2->1: 2
JDBCLoginModule.java: org.apache.karaf.jaas.modules.jdbc PropertiesLoginModule.java: org.apache.karaf.jaas.modules.properties 1->2: 9  2->1: 9
Exception.java: java.lang ObrMBeanImpl.java: org.apache.karaf.management.mbeans.obr.internal 1->2: 64  2->1: 0
ProcessBuilder.java: org.apache.karaf.jpm ProcessBuilderImpl.java: org.apache.karaf.jpm.impl 1->2: 13  2->1: 16
BundleInfo.java: org.apache.karaf.features BundleInfoImpl.java: org.apache.karaf.features.obr.internal 1->2: 5  2->1: 4
Exception.java: java.lang PropertiesConverterTest.java: org.apache.karaf.jaas.modules.properties 1->2: 10  2->1: 0
Utils.java: org.apache.karaf.main Main.java: org.apache.karaf.shell.wrapper 1->2: 0  2->1: 19
KeystoreIsLocked.java: org.apache.karaf.jaas.config ResourceKeystoreInstance.java: org.apache.karaf.jaas.config.impl 1->2: 20  2->1: 0
Exception.java: java.lang HeadAction.java: org.apache.karaf.shell.commands 1->2: 17  2->1: 0
Lock.java: org.apache.karaf.main DefaultJDBCLock.java: org.apache.karaf.main 1->2: 41  2->1: 9
Exception.java: java.lang AddUrlCommand.java: org.apache.karaf.features.command 1->2: 10  2->1: 0
Exception.java: java.lang FeatureValidationUtil.java: org.apache.karaf.features.internal 1->2: 19  2->1: 0
PropertiesBackingEngineFactory.java: org.apache.karaf.jaas.modules.properties Properties.java: org.apache.karaf.util 1->2: 0  2->1: 16
Command.java: org.apache.felix.gogo.commands SourceCommand.java: org.apache.karaf.shell.obr 1->2: 10  2->1: 0
Command.java: org.apache.felix.gogo.commands ExportsCommand.java: org.apache.karaf.shell.packages 1->2: 19  2->1: 0
Exception.java: java.lang LogoutAction.java: org.apache.karaf.shell.commands 1->2: 9  2->1: 0
Exception.java: java.lang SshServerFactory.java: org.apache.karaf.shell.ssh 1->2: 10  2->1: 0
Main.java: org.apache.karaf.main Stop.java: org.apache.karaf.main 1->2: 41  2->1: 15
Option.java: org.apache.felix.gogo.commands Argument.java: org.apache.felix.gogo.commands 1->2: 7  2->1: 7
Resolver.java: org.apache.karaf.features FeaturesServiceImpl.java: org.apache.karaf.features.internal 1->2: 33  2->1: 1
OracleJDBCLock.java: org.apache.karaf.main Statements.java: org.apache.karaf.main 1->2: 30  2->1: 7
Exception.java: java.lang JasyptEncryptionTest.java: org.apache.karaf.jaas.jasypt.impl 1->2: 10  2->1: 0
Exception.java: java.lang Info.java: org.apache.karaf.shell.osgi 1->2: 10  2->1: 0
JDBCLoginModule.java: org.apache.karaf.jaas.modules.jdbc JDBCUtils.java: org.apache.karaf.jaas.modules.jdbc 1->2: 0  2->1: 9
ProcessImpl.java: org.apache.karaf.jpm.impl ProcessBuilderImpl.java: org.apache.karaf.jpm.impl 1->2: 7  2->1: 8
